full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/20387/xant3r,Xant3r,Russia,20 years,Nemiga,0.67,1.09,0.69,78.3,102.6,46.8%,1.27,16.7%,0.53,0.1,0.14,25.1%,25.1%,0.2,18.9%,0.68,0.11,0.12,23.7%,48.3%,71.1%,3.03,0.0,0.01,1.2%,0.9%,0.001,0.0006,0.32,0.1,0.13,18.3%,23.6%,114,0.42,0.02,8.9%,62.1%,1m 3s,5.5%,0.66,7.65,1.17,0.5,0.03,2.25
https://www.hltv.org/stats/players/21266/1eer,1eeR,Belarus,22 years,Nemiga,0.27,0.98,0.6,68.3,87.4,42.3%,0.95,14.0%,0.74,0.12,0.15,27.6%,27.6%,0.18,21.6%,0.27,0.08,0.1,17.5%,45.1%,71.9%,2.75,0.0,0.0,0.8%,0.4%,0.0007,0.0,0.42,0.1,0.13,21.3%,24.6%,114,0.46,0.02,9.6%,60.1%,1m 8s,7.6%,0.68,5.83,1.08,0.54,0.05,2.52
https://www.hltv.org/stats/players/20312/xertion,xertioN,Israel,20 years,MOUZ,0.75,1.12,0.71,80.0,104.1,47.8%,1.12,17.5%,0.54,0.1,0.14,22.1%,22.1%,0.17,17.6%,0.8,0.13,0.13,26.3%,48.9%,74.7%,3.0,0.0,0.0,0.4%,0.3%,0.0005,0.0001,0.2,0.09,0.12,16.4%,19.0%,113,0.3,0.01,7.3%,59.7%,1m 2s,5.7%,0.63,6.03,0.95,0.54,0.03,2.0
https://www.hltv.org/stats/players/8183/rain,rain,Norway,30 years,FaZe,0.73,1.02,0.7,79.2,90.6,46.9%,,17.4%,0.35,0.1,0.13,21.2%,21.2%,0.15,16.6%,0.77,0.12,0.13,25.2%,49.2%,74.9%,2.75,0.0,0.0,0.5%,0.3%,0.0007,0.0006,0.13,0.09,0.1,14.6%,17.2%,97,0.28,0.02,5.8%,62.2%,0m 54s,5.0%,0.39,3.98,0.63,0.48,0.02,1.77
https://www.hltv.org/stats/players/20275/techno,Techno,Mongolia,19 years,The MongolZ,0.55,1.04,0.67,73.4,95.0,45.4%,1.08,16.3%,0.65,0.1,0.15,28.8%,28.8%,0.14,18.0%,0.43,0.09,0.11,20.0%,46.3%,73.8%,2.66,0.0,0.0,0.5%,0.4%,0.0003,0.0001,0.32,0.1,0.13,18.8%,21.0%,109,0.48,0.02,8.5%,67.2%,1m 4s,4.9%,0.41,4.37,0.79,0.43,0.03,2.15
https://www.hltv.org/stats/players/11154/exit,exit,Brazil,28 years,MIBR,0.62,1.12,0.69,75.3,92.5,47.2%,1.02,16.5%,0.32,0.09,0.11,27.2%,27.2%,0.14,23.1%,0.25,0.07,0.06,13.0%,55.7%,73.7%,2.99,0.0,0.0,0.5%,0.3%,0.0008,0.0004,0.67,0.12,0.16,23.0%,21.9%,110,0.65,0.02,13.8%,57.1%,1m 13s,11.7%,0.76,5.68,1.27,0.64,0.05,2.43
https://www.hltv.org/stats/players/21001/mzinho,mzinho,Mongolia,17 years,The MongolZ,0.48,1.04,0.65,72.6,92.6,44.3%,1.12,15.8%,0.54,0.1,0.14,27.6%,27.6%,0.17,20.6%,0.34,0.08,0.09,17.5%,48.1%,76.3%,2.46,0.0,0.01,0.9%,0.5%,0.002,0.001,0.31,0.09,0.13,19.2%,22.4%,111,0.44,0.02,9.0%,75.0%,1m 5s,5.2%,0.46,4.0,0.69,0.5,0.04,2.28
https://www.hltv.org/stats/players/19677/kyxsan,kyxsan,North Macedonia,24 years,HEROIC,0.5,1.03,0.65,73.7,92.7,44.8%,0.95,15.6%,0.56,0.1,0.14,27.6%,27.6%,0.15,20.4%,0.39,0.09,0.1,19.3%,46.8%,71.0%,3.02,0.0,0.01,0.8%,0.5%,0.0007,0.001,0.27,0.09,0.12,18.9%,20.8%,113,0.5,0.02,9.5%,65.2%,1m 9s,5.9%,0.89,6.7,1.18,0.88,0.07,2.26
https://www.hltv.org/stats/players/20304/staehr,Staehr,Denmark,20 years,Astralis,0.65,1.08,0.68,77.9,102.2,46.4%,1.13,16.5%,0.33,0.09,0.13,22.8%,22.8%,0.15,18.5%,0.65,0.11,0.11,22.4%,50.0%,72.1%,2.99,0.0,0.0,0.7%,0.5%,0.0007,0.0,0.34,0.1,0.13,19.0%,18.4%,114,0.43,0.02,10.2%,61.8%,1m 7s,8.1%,0.85,6.91,0.83,0.78,0.04,2.34
https://www.hltv.org/stats/players/7938/xantares,XANTARES,Turkey,29 years,Eternal Fire,0.97,1.16,0.81,89.1,108.7,51.5%,,21.2%,0.38,0.1,0.13,21.6%,21.6%,0.16,15.4%,0.88,0.14,0.11,25.2%,56.4%,74.9%,3.16,0.0,0.01,1.0%,0.7%,0.002,0.0006,0.32,0.11,0.13,16.4%,16.7%,103,0.33,0.02,7.3%,59.6%,1m 0s,5.8%,0.58,5.17,0.92,0.55,0.03,2.02
