full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,team
https://www.hltv.org/stats/players/10994/stavn?maps=all,0.81,0.52,0.49,0.6,0.51,0.81,0.18,0.78,0.47,0.42,0.1,0.13,0.2,0.25,0.15,0.17,0.4,0.11,0.14,0.19,0.19,1.12,0.64,0.11,0.1,0.21,0.52,0.74,0.03,0.45,0.02,0.1,0.62,1.1,0.06,0.1,0.06,0.08,0.04,0.01,0.01,0.64,0,1.01,0.61,0.04,2.32,stavn,all,23.0,other
https://www.hltv.org/stats/players/17956/jabbi?maps=all,0.53,0.33,0.46,0.44,0.35,0.72,0.16,0.56,0.34,0.56,0.1,0.14,0.21,0.27,0.12,0.18,0.39,0.1,0.13,0.2,0.2,1.07,0.47,0.1,0.1,0.2,0.5,0.73,0.02,0.55,0.02,0.1,0.63,1.13,0.07,0.01,0.01,0.02,0.01,0.002,0.002,0.55,0,0.76,0.57,0.03,2.34,jabbi,all,21.0,other
https://www.hltv.org/stats/players/20304/staehr?maps=all,0.65,0.37,0.46,0.49,0.42,0.78,0.16,0.72,0.48,0.37,0.1,0.13,0.19,0.24,0.16,0.19,0.36,0.1,0.13,0.19,0.2,1.14,0.64,0.11,0.11,0.22,0.5,0.72,0.03,0.47,0.02,0.1,0.62,1.12,0.08,0.0,0.0,0.01,0.0,0.0007,0.0,0.84,0,0.81,0.77,0.04,2.33,Staehr,all,20.0,other
https://www.hltv.org/stats/players/150/maj3r?maps=all,0.37,0.19,0.44,0.23,0.09,0.71,0.14,0.46,0.19,0.26,0.09,0.12,0.18,0.22,0.14,0.2,0.16,0.08,0.11,0.18,0.2,1.11,0.42,0.09,0.1,0.19,0.48,0.74,0.03,0.47,0.02,0.1,0.56,1.08,0.07,0.07,0.04,0.07,0.03,0.009,0.009,0.82,0,1.11,0.84,0.08,2.32,MAJ3R,all,34.0,other
https://www.hltv.org/stats/players/7938/xantares?maps=all,0.97,0.81,0.51,0.88,0.6,0.89,0.21,0.85,0.64,0.39,0.1,0.13,0.2,0.22,0.16,0.16,0.33,0.11,0.13,0.16,0.17,1.04,0.88,0.14,0.11,0.25,0.56,0.75,0.03,0.36,0.02,0.07,0.61,1.02,0.06,0.0,0.01,0.01,0.01,0.002,0.0006,0.58,0,0.93,0.54,0.03,2.03,XANTARES,all,29.0,other
https://www.hltv.org/stats/players/8574/woxic?maps=all,0.73,0.56,0.49,0.53,0.49,0.75,0.18,0.6,0.4,0.16,0.08,0.11,0.17,0.19,0.11,0.18,0.38,0.1,0.14,0.19,0.18,1.03,0.67,0.12,0.08,0.19,0.6,0.76,0.02,0.72,0.03,0.14,0.6,1.17,0.08,0.93,0.39,0.54,0.3,0.11,0.09,0.51,0,0.71,0.66,0.06,2.27,woxic,all,26.0,other
https://www.hltv.org/stats/players/8575/calyx?maps=all,0.69,0.48,0.48,0.47,0.4,0.76,0.17,0.57,0.4,0.34,0.09,0.12,0.2,0.24,0.12,0.19,0.46,0.1,0.14,0.2,0.2,1.05,0.36,0.09,0.07,0.16,0.54,0.74,0.03,0.59,0.02,0.11,0.61,1.12,0.08,0.05,0.03,0.04,0.02,0.008,0.006,0.41,0,0.81,0.5,0.03,2.05,Calyx,all,26.0,other
https://www.hltv.org/stats/players/21243/wicadia?maps=all,0.73,0.48,0.47,0.6,0.42,0.77,0.18,0.74,0.53,0.58,0.11,0.15,0.21,0.26,0.16,0.17,0.38,0.1,0.13,0.18,0.23,1.08,0.62,0.11,0.12,0.22,0.49,0.71,0.03,0.44,0.02,0.08,0.63,1.13,0.06,0.02,0.01,0.02,0.01,0.004,0.003,0.38,0,0.87,0.39,0.02,2.01,Wicadia,all,20.0,other
https://www.hltv.org/stats/players/11154/exit?maps=all,0.61,0.41,0.47,0.37,0.51,0.75,0.16,0.54,0.28,0.33,0.09,0.11,0.2,0.27,0.14,0.23,0.67,0.12,0.16,0.23,0.22,1.1,0.25,0.07,0.06,0.13,0.55,0.74,0.03,0.71,0.03,0.14,0.58,1.22,0.12,0.0,0.0,0.0,0.0,0.0008,0.0004,0.76,0,1.26,0.64,0.05,2.43,exit,all,28.0,other
https://www.hltv.org/stats/players/18717/lucaozy?maps=all,0.76,0.52,0.49,0.58,0.53,0.78,0.18,0.7,0.5,0.37,0.09,0.13,0.2,0.24,0.14,0.18,0.43,0.1,0.14,0.2,0.2,1.08,0.67,0.11,0.11,0.22,0.52,0.73,0.03,0.46,0.02,0.1,0.59,1.08,0.11,0.04,0.03,0.04,0.02,0.006,0.004,0.41,0,0.83,0.49,0.03,2.03,Lucaozy,all,23.0,other
