full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/23757/pdrzin,pdrzin,0.0,0.43,0.36,41.1,276.0,21.4%,,7.1%,0.65,0.0,0.29,25.0%,25.0%,0.0,0.0%,0.29,0.0,0.29,28.6%,0.0%,-,1.29,0.0,0.0,0.0%,-,0.0,0.0,0.91,0.02,0.1
https://www.hltv.org/stats/players/23348/pearl,PearL,0.79,0.91,0.71,78.3,109.5,47.4%,0.76,19.3%,0.3,0.11,0.13,8.0%,8.0%,0.16,14.1%,0.51,0.1,0.19,28.1%,34.2%,61.5%,3.52,0.0,0.0,0.0%,-,0.0,0.0,0.79,0.29,0.64
https://www.hltv.org/stats/players/12612/pechyn,Pechyn,0.64,1.05,0.69,76.5,99.9,46.9%,1.13,16.5%,0.42,0.1,0.13,26.7%,26.7%,0.15,18.0%,0.32,0.09,0.08,16.9%,50.3%,70.8%,2.86,0.0,0.01,0.8%,0.5%,0.001,0.0005,0.46,0.36,0.39
https://www.hltv.org/stats/players/23298/pedrinzy,pedrinzy,0.47,1.02,0.64,72.1,97.9,44.3%,0.96,15.9%,0.61,0.11,0.14,28.3%,28.3%,0.2,19.9%,0.5,0.1,0.11,21.0%,45.9%,78.2%,2.8,0.0,0.0,0.0%,-,0.0,0.0,0.77,0.35,0.51
https://www.hltv.org/stats/players/24608/peek-a-boo,peek a boo,0.32,0.9,0.57,76.5,120.8,40.9%,,12.6%,0.69,0.13,0.15,54.5%,54.5%,0.29,24.4%,0.13,0.05,0.09,13.4%,35.3%,100.0%,2.93,0.51,0.14,24.3%,13.4%,0.06,0.02,0.81,0.05,0.25
https://www.hltv.org/stats/players/22135/peeping,Peeping,0.55,1.04,0.67,73.4,95.6,46.5%,1.06,16.0%,0.72,0.12,0.16,27.9%,27.9%,0.17,18.4%,0.54,0.1,0.11,21.2%,48.7%,69.9%,2.69,0.04,0.03,4.1%,2.0%,0.005,0.006,0.5,0.53,0.43
https://www.hltv.org/stats/players/15718/peku,peku,0.24,0.9,0.6,67.7,90.7,41.7%,0.94,13.9%,0.42,0.09,0.14,21.3%,21.3%,0.13,15.9%,0.53,0.1,0.12,22.3%,44.6%,71.8%,2.3,0.35,0.14,23.1%,11.1%,0.03,0.04,0.13,0.46,0.53
https://www.hltv.org/stats/players/22466/pelle,Pelle,0.46,1.01,0.64,74.2,100.5,45.5%,0.82,14.9%,0.83,0.13,0.16,38.5%,38.5%,0.19,16.9%,0.52,0.1,0.1,20.6%,50.3%,64.6%,2.68,0.0,0.0,0.4%,0.4%,0.0,0.004,0.45,0.3,0.43
https://www.hltv.org/stats/players/20305/pellyy,Pellyy,0.15,0.79,0.54,65.7,86.2,38.2%,0.91,13.1%,0.68,0.13,0.16,25.0%,25.0%,0.11,13.9%,0.49,0.09,0.16,24.9%,36.8%,71.4%,2.45,0.0,0.01,1.0%,0.5%,0.0,0.0,0.44,0.04,0.28
https://www.hltv.org/stats/players/20096/pendzelek,pendzelek,0.2,0.9,0.59,68.2,93.8,42.4%,1.13,12.3%,0.64,0.11,0.15,31.1%,31.1%,0.13,16.0%,0.65,0.11,0.13,24.0%,47.4%,67.3%,2.38,0.02,0.01,1.9%,1.3%,0.003,0.0,0.09,0.19,0.35
https://www.hltv.org/stats/players/23461/pepe,pepe,0.2,0.95,0.6,65.3,83.7,42.3%,,13.4%,0.96,0.15,0.17,37.6%,37.6%,0.18,23.5%,0.33,0.08,0.1,18.8%,45.1%,71.9%,2.36,0.0,0.0,0.5%,0.3%,0.0004,0.0,0.87,0.41,0.32
https://www.hltv.org/stats/players/23763/pepo,Pepo,0.9,1.1,0.79,80.2,113.5,52.0%,,19.7%,0.19,0.09,0.11,28.6%,28.6%,0.15,14.3%,0.66,0.12,0.06,17.7%,66.1%,80.5%,2.39,0.88,0.3,37.8%,25.7%,0.1,0.08,0.75,0.79,0.64
https://www.hltv.org/stats/players/15949/peppzor,Peppzor,0.52,1.02,0.66,74.1,96.2,44.8%,1.11,15.8%,0.35,0.09,0.13,23.6%,23.6%,0.15,18.5%,0.43,0.09,0.1,19.6%,47.7%,70.6%,2.76,0.01,0.01,1.1%,0.6%,0.002,0.0005,0.35,0.43,0.76
https://www.hltv.org/stats/players/15221/peqexino,peqexino,0.38,0.97,0.64,67.4,87.6,44.5%,0.96,15.5%,0.34,0.09,0.13,24.3%,24.3%,0.1,17.0%,0.23,0.08,0.08,16.1%,47.6%,69.0%,2.18,0.46,0.17,25.8%,13.0%,0.04,0.03,0.53,0.6,0.6
https://www.hltv.org/stats/players/24554/perdy,PerdY,0.19,0.92,0.58,68.7,85.0,44.9%,,12.1%,0.63,0.14,0.14,14.3%,14.3%,0.17,17.4%,0.21,0.08,0.09,16.2%,47.5%,63.2%,2.98,0.01,0.01,2.1%,0.8%,0.0,0.0,0.71,0.61,0.74
https://www.hltv.org/stats/players/21290/perez,perez,0.31,0.97,0.62,68.7,90.0,43.0%,1.08,14.5%,0.44,0.1,0.13,28.1%,28.1%,0.15,19.9%,0.25,0.08,0.1,17.7%,44.1%,68.4%,2.52,0.0,0.0,0.3%,0.1%,0.0004,0.0,0.64,0.54,0.54
https://www.hltv.org/stats/players/16947/perfecto,Perfecto,0.35,1.04,0.63,70.0,84.5,44.1%,1.07,14.6%,0.42,0.09,0.13,29.4%,29.4%,0.13,24.0%,0.19,0.06,0.06,12.3%,51.4%,74.2%,2.79,0.01,0.01,2.0%,1.1%,0.002,0.001,0.45,0.65,0.71
https://www.hltv.org/stats/players/17553/pesadelo,pesadelo,0.73,1.07,0.71,78.2,102.5,46.8%,1.13,17.6%,0.4,0.09,0.14,23.4%,23.4%,0.14,16.4%,0.56,0.1,0.11,21.3%,48.8%,72.2%,2.97,0.02,0.01,2.1%,1.3%,0.003,0.001,0.41,0.44,0.88
https://www.hltv.org/stats/players/23297/peterooo,PeTeRoOo,0.21,0.91,0.59,69.7,94.8,42.8%,0.93,12.2%,0.57,0.11,0.15,27.2%,27.2%,0.21,19.2%,0.48,0.09,0.13,22.4%,41.4%,77.2%,2.96,0.0,0.01,1.1%,0.5%,0.0007,0.001,0.21,0.32,0.56
https://www.hltv.org/stats/players/9709/peterr,peterr,0.63,0.97,0.68,77.1,82.9,45.8%,,16.4%,0.27,0.11,0.11,18.4%,18.4%,0.16,16.7%,0.41,0.1,0.09,18.3%,52.0%,63.4%,2.77,0.03,0.02,3.6%,2.1%,0.004,0.006,0.23,0.45,0.46
https://www.hltv.org/stats/players/16741/q-q,Q-Q,0.27,0.99,0.61,68.4,85.7,42.6%,0.92,14.0%,0.57,0.11,0.14,29.8%,29.8%,0.13,21.8%,0.17,0.06,0.07,13.9%,46.5%,74.9%,2.62,0.0,0.0,0.6%,0.3%,0.0005,0.0005,0.35,0.61,0.78
https://www.hltv.org/stats/players/13239/qikert,Qikert,0.62,1.09,0.68,75.5,95.8,46.6%,1.01,16.6%,0.47,0.1,0.13,24.8%,24.8%,0.13,19.5%,0.54,0.1,0.1,20.0%,51.9%,70.7%,2.74,0.0,0.01,1.2%,0.7%,0.002,0.0007,0.36,0.38,0.69
https://www.hltv.org/stats/players/21796/qiyarah,Qiyarah,0.68,1.08,0.7,76.2,99.0,47.1%,1.11,17.4%,0.88,0.13,0.17,28.9%,28.9%,0.18,18.6%,0.45,0.1,0.11,20.4%,46.7%,69.6%,2.78,0.0,0.0,0.4%,0.2%,0.0008,0.0,0.76,0.54,0.4
https://www.hltv.org/stats/players/22473/qlocuu,Qlocuu,0.57,1.04,0.68,73.9,99.5,45.7%,1.1,16.3%,0.8,0.13,0.16,29.4%,29.4%,0.17,17.4%,0.58,0.11,0.13,23.3%,45.3%,69.4%,2.82,0.0,0.0,0.4%,0.4%,0.0004,0.0,0.63,0.47,0.38
https://www.hltv.org/stats/players/24194/qpjz,qpjz,0.01,0.61,0.44,59.1,74.0,38.2%,,2.9%,0.25,0.03,0.15,0.0%,0.0%,0.18,8.8%,0.11,0.06,0.06,11.8%,50.0%,0.0%,1.79,0.0,0.0,0.0%,-,0.0,0.0,0.04,0.15,0.02
https://www.hltv.org/stats/players/22441/qqgod,qqGOD,0.8,1.13,0.72,81.6,99.7,47.9%,1.13,17.9%,0.41,0.1,0.13,17.5%,17.5%,0.22,21.4%,0.21,0.07,0.07,14.5%,51.3%,63.7%,3.09,0.01,0.01,1.9%,0.7%,0.001,0.001,0.75,0.8,0.56
https://www.hltv.org/stats/players/13749/queenix,Queenix,0.39,1.02,0.63,70.5,90.2,43.6%,1.04,15.0%,0.56,0.1,0.14,30.4%,30.4%,0.14,21.3%,0.27,0.08,0.08,16.5%,48.5%,70.7%,2.59,0.0,0.01,0.9%,0.5%,0.001,0.0005,0.49,0.58,0.68
https://www.hltv.org/stats/players/3329/quix,quix,0.51,0.92,0.66,73.7,90.7,44.8%,,15.9%,0.3,0.09,0.13,20.1%,20.1%,0.14,14.6%,0.51,0.1,0.12,21.8%,45.1%,71.7%,2.76,0.14,0.08,11.7%,6.2%,0.02,0.02,0.12,0.37,0.52
https://www.hltv.org/stats/players/24709/qwant,qwant,0.51,0.92,0.64,71.3,110.0,44.3%,,17.1%,0.42,0.16,0.11,25.0%,25.0%,0.19,14.3%,0.34,0.09,0.11,20.0%,42.9%,66.7%,2.56,0.3,0.14,21.7%,10.0%,0.03,0.03,0.59,0.8,0.57
https://www.hltv.org/stats/players/17275/qweall,Qweall,0.21,0.91,0.59,68.5,91.4,41.7%,0.92,13.0%,0.19,0.09,0.12,14.0%,14.0%,0.16,18.8%,0.62,0.11,0.15,25.5%,42.6%,68.5%,2.43,0.17,0.09,15.7%,6.4%,0.02,0.03,0.24,0.2,0.64
https://www.hltv.org/stats/players/7025/qz,qz,0.38,0.95,0.65,66.7,34.9,45.3%,,15.5%,0.12,0.1,0.07,11.5%,11.5%,0.12,16.0%,0.68,0.11,0.1,21.2%,53.8%,75.6%,2.14,0.85,0.27,40.5%,18.9%,0.06,0.06,0.04,0.28,0.18
https://www.hltv.org/stats/players/24180/qzr,qzr,0.12,0.87,0.56,64.3,76.7,41.5%,,12.2%,0.74,0.12,0.16,29.2%,29.2%,0.15,20.3%,0.38,0.09,0.11,20.1%,46.1%,58.5%,2.37,0.0,0.0,0.8%,0.5%,0.0,0.0,0.57,0.73,0.24
https://www.hltv.org/stats/players/20425/r1nkle,r1nkle,0.79,1.13,0.74,76.3,100.0,49.6%,1.09,18.7%,0.15,0.08,0.11,19.5%,19.5%,0.1,16.3%,0.77,0.13,0.09,21.7%,57.9%,74.3%,2.06,0.93,0.36,48.2%,27.9%,0.1,0.09,0.52,0.63,0.55
https://www.hltv.org/stats/players/21915/r1see,r1see,0.39,1.0,0.63,71.1,89.2,44.0%,1.09,14.9%,0.28,0.09,0.12,25.3%,25.3%,0.12,20.6%,0.22,0.08,0.08,15.7%,47.9%,68.7%,2.68,0.01,0.01,1.0%,0.6%,0.002,0.0001,0.23,0.53,0.55
https://www.hltv.org/stats/players/23577/r2b2,R2B2,0.75,1.15,0.73,77.3,95.4,48.6%,1.34,17.6%,0.48,0.1,0.13,20.9%,20.9%,0.18,21.0%,0.48,0.1,0.09,19.1%,51.6%,72.4%,2.68,0.0,0.01,0.9%,0.5%,0.001,0.0005,0.59,0.64,0.47
https://www.hltv.org/stats/players/22090/r2d2j,R2D2J,0.06,0.84,0.53,61.1,84.4,40.1%,0.81,10.8%,0.91,0.14,0.18,30.3%,30.3%,0.18,18.4%,0.44,0.09,0.13,22.0%,42.4%,67.4%,2.34,0.01,0.01,2.0%,0.9%,0.001,0.001,0.47,0.35,0.2
https://www.hltv.org/stats/players/20709/r3salt,r3salt,0.77,1.11,0.72,79.3,103.0,47.9%,1.15,17.8%,0.46,0.1,0.14,21.8%,21.8%,0.16,17.7%,0.63,0.11,0.11,22.1%,49.7%,72.7%,2.85,0.0,0.01,1.0%,0.6%,0.001,0.0007,0.28,0.46,0.43
https://www.hltv.org/stats/players/2898/raalz,raalz,0.45,0.97,0.65,71.0,89.0,44.8%,,15.5%,0.56,0.11,0.14,28.0%,28.0%,0.14,18.9%,0.4,0.09,0.09,18.5%,49.5%,71.6%,2.7,0.0,0.0,0.4%,0.3%,0.0004,0.0001,0.49,0.47,0.84
https://www.hltv.org/stats/players/20006/rabbit,rabbit,0.41,1.01,0.66,68.9,88.8,46.5%,0.97,15.3%,0.56,0.11,0.14,26.6%,26.6%,0.12,16.4%,0.51,0.1,0.08,18.1%,56.3%,72.2%,2.18,0.54,0.19,28.6%,13.7%,0.05,0.04,0.51,0.55,0.43
https://www.hltv.org/stats/players/22356/rachell,RacheLL,0.88,1.15,0.77,80.6,105.0,49.5%,1.37,19.2%,0.56,0.12,0.14,22.6%,22.6%,0.19,17.2%,0.48,0.1,0.08,18.1%,54.0%,73.3%,3.03,0.0,0.01,0.9%,0.7%,0.0006,0.0006,0.7,0.77,0.58
https://www.hltv.org/stats/players/17231/rackem,Rackem,0.57,1.02,0.68,72.7,93.9,46.1%,1.08,16.7%,0.42,0.11,0.13,24.0%,24.0%,0.12,17.6%,0.27,0.08,0.07,15.5%,51.8%,69.6%,2.42,0.12,0.07,9.5%,4.9%,0.02,0.01,0.47,0.61,0.27
https://www.hltv.org/stats/players/13148/radifaction,Radifaction,0.6,1.03,0.67,75.2,98.4,45.7%,1.03,16.5%,0.34,0.09,0.13,23.6%,23.6%,0.13,17.1%,0.52,0.1,0.11,20.5%,48.7%,74.1%,2.71,0.02,0.02,2.7%,1.5%,0.003,0.003,0.25,0.36,0.28
https://www.hltv.org/stats/players/20054/rafaxf,rafaxF,0.49,1.04,0.67,70.3,93.6,46.9%,0.91,16.1%,0.29,0.1,0.12,24.5%,24.5%,0.11,17.4%,0.53,0.11,0.08,18.2%,57.9%,69.4%,1.96,0.93,0.36,53.0%,27.6%,0.09,0.08,0.46,0.52,0.68
