full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/23062/nea,Nea,27/100,0.94,0.61,68.8,87.2,43.4%,1.02,13.9%,37/100,0.11,0.12,24.6%,24.6%,0.17,19.9%,27/100,0.08,0.08,16.6%,48.9%,67.6%,2.55,0/100,0.00,0.1%,0.1%,0.0,0.0,64/100,58/100,14/100
https://www.hltv.org/stats/players/22572/oath,Oath,50/100,1.00,0.67,71.3,95.5,45.2%,1.15,16.2%,51/100,0.11,0.14,27.5%,27.5%,0.14,17.5%,18/100,0.07,0.08,14.3%,45.6%,75.8%,2.75,0/100,0.00,0.6%,0.4%,0.002,0.0005,60/100,67/100,61/100
https://www.hltv.org/stats/players/21820/obi,obi,46/100,1.00,0.65,72.0,92.1,46.1%,1.05,15.3%,31/100,0.09,0.13,20.6%,20.6%,0.19,17.9%,57/100,0.10,0.11,21.8%,48.1%,72.4%,2.32,5/100,0.03,4.3%,2.6%,0.006,0.01,31/100,49/100,41/100
https://www.hltv.org/stats/players/24055/obitooo,Obitooo,0/100,0.34,0.28,36.2,59.0,23.4%,,4.7%,0/100,0.02,0.08,0.0%,0.0%,0.12,15.6%,30/100,0.06,0.19,25.0%,25.0%,25.0%,1.14,6/100,0.03,11.1%,3.1%,0.0,0.02,30/100,10/100,2/100
https://www.hltv.org/stats/players/24659/oczarka,Oczarka,27/100,0.88,0.64,64.6,70.7,47.7%,,14.0%,42/100,0.09,0.14,28.6%,28.6%,0.19,20.9%,14/100,0.07,0.08,15.1%,46.2%,33.3%,2.40,0/100,0.00,0.0%,-,0.0,0.0,96/100,60/100,8/100
https://www.hltv.org/stats/players/24088/odayy,Odayy,13/100,0.86,0.53,69.4,99.5,41.7%,,8.3%,95/100,0.18,0.20,33.3%,33.3%,0.32,20.0%,46/100,0.08,0.15,23.3%,35.7%,100.0%,2.25,0/100,0.00,0.0%,-,0.0,0.0,6/100,1/100,7/100
https://www.hltv.org/stats/players/24530/ogura,ogura,1/100,0.71,0.46,57.9,80.4,32.8%,,8.8%,78/100,0.11,0.18,26.1%,26.1%,0.21,21.6%,24/100,0.05,0.18,23.2%,20.7%,33.3%,2.33,0/100,0.01,1.7%,0.8%,0.0,0.008,10/100,0/100,39/100
https://www.hltv.org/stats/players/22967/ogwizard,ogwizard,75/100,1.13,0.73,75.9,100.9,49.5%,1.23,18.1%,49/100,0.12,0.13,24.2%,24.2%,0.16,17.4%,62/100,0.11,0.08,19.0%,59.6%,71.5%,2.30,88/100,0.29,39.7%,22.4%,0.07,0.07,80/100,69/100,45/100
https://www.hltv.org/stats/players/22455/okay,OKay,1/100,0.68,0.45,49.1,60.5,34.8%,0.33,9.8%,91/100,0.13,0.18,50.0%,50.0%,0.07,15.2%,28/100,0.07,0.13,19.6%,33.3%,100.0%,1.70,46/100,0.15,34.1%,12.0%,0.03,0.03,4/100,14/100,25/100
https://www.hltv.org/stats/players/23730/ole,ole,6/100,0.60,0.46,47.0,73.7,30.8%,,12.8%,13/100,0.05,0.10,66.7%,66.7%,0.13,15.4%,0/100,0.03,0.08,10.3%,25.0%,0.0%,2.05,0/100,0.00,0.0%,-,0.0,0.0,17/100,61/100,40/100
