full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/16625/karlisabc,karlisabc,0.31,0.91,0.59,70.0,92.5,0.42200000000000004,0.92,0.147,0.55,0.1,0.15,0.267,0.267,0.14,0.159,0.16,0.07,0.09,0.16399999999999998,44.0%,0.542,2.63,0.0,0.01,0.01,0.006,0.0,0.001,0.28,0.72,0.48
https://www.hltv.org/stats/players/24250/karman,KarmaN,0.87,1.15,0.75,81.6,107.8,0.49200000000000005,,0.19,0.57,0.1,0.15,0.233,0.233,0.17,0.191,0.66,0.12,0.07,0.193,61.9%,0.6709999999999999,2.76,0.21,0.1,0.136,0.06,0.03,0.02,0.38,0.6,0.49
https://www.hltv.org/stats/players/24475/karmazynsz,karmazynsz,0.0,0.48,0.33,45.5,55.7,0.265,,0.061,0.0,0.04,0.06,0.0,0.0,0.1,0.306,0.26,0.08,0.06,0.14300000000000002,57.1%,0.25,1.98,0.0,0.0,0.0,,0.0,0.0,0.0,0.17,0.28
https://www.hltv.org/stats/players/15396/karmy,KARMY,0.39,0.98,0.63,70.6,96.3,0.435,1.11,0.151,0.76,0.11,0.16,0.303,0.303,0.16,0.184,0.2,0.07,0.1,0.175,41.1%,0.687,2.86,0.0,0.0,0.004,0.003,0.0,0.0,0.79,0.41,0.56
https://www.hltv.org/stats/players/22676/karnez,karnez,0.68,0.98,0.7,77.4,104.4,0.46,1.24,0.168,0.6,0.12,0.15,0.27699999999999997,0.27699999999999997,0.16,0.128,0.33,0.07,0.16,0.228,30.9%,0.7140000000000001,2.48,0.0,0.0,0.0,,0.0,0.0,0.82,0.58,0.24
https://www.hltv.org/stats/players/429/karrigan,karrigan,0.29,0.9,0.61,67.9,64.2,0.425,,0.14400000000000002,0.15,0.09,0.1,0.175,0.175,0.14,0.182,0.52,0.1,0.13,0.22399999999999998,44.0%,0.737,2.63,0.11,0.06,0.096,0.044000000000000004,0.01,0.01,0.03,0.27,0.63
https://www.hltv.org/stats/players/24337/karrigod,karrigod,0.03,0.7,0.42,54.2,85.3,0.289,,0.111,0.3,0.07,0.13,0.3,0.3,0.18,0.267,0.55,0.09,0.22,0.311,28.6%,1.0,2.4,0.0,0.0,0.0,,0.0,0.0,0.59,0.04,0.23
https://www.hltv.org/stats/players/24661/karv3r,karv3r,0.98,1.3,0.84,91.0,107.5,0.568,,0.212,0.18,0.09,0.11,0.125,0.125,0.19,0.14400000000000002,0.71,0.12,0.05,0.17800000000000002,69.2%,0.889,3.32,0.0,0.0,0.0,,0.0,0.0,0.66,0.8,0.46
https://www.hltv.org/stats/players/24165/kas,kas,0.01,0.7,0.48,55.5,70.9,0.381,,0.071,0.33,0.1,0.12,0.375,0.375,0.15,0.19,0.13,0.06,0.06,0.11900000000000001,46.7%,0.7140000000000001,2.23,0.0,0.0,0.0,,0.0,0.0,0.38,0.55,0.04
https://www.hltv.org/stats/players/21756/kat,Kat,0.72,1.14,0.71,78.3,92.3,0.484,1.21,0.17,0.68,0.11,0.14,0.28800000000000003,0.28800000000000003,0.19,0.213,0.45,0.09,0.08,0.177,53.6%,0.765,3.18,0.0,0.0,0.006999999999999999,0.004,0.0002,0.0,0.43,0.45,0.55
https://www.hltv.org/stats/players/18581/katalic,Katalic,0.56,1.01,0.67,74.3,98.6,0.45399999999999996,1.0,0.162,0.44,0.1,0.14,0.251,0.251,0.13,0.159,0.3,0.09,0.1,0.18,47.2%,0.647,2.7,0.12,0.07,0.098,0.059000000000000004,0.02,0.01,0.48,0.58,0.72
https://www.hltv.org/stats/players/23068/katalyyst,katalyyst,0.25,0.97,0.62,63.0,85.2,0.436,0.8,0.14300000000000002,0.76,0.13,0.15,0.305,0.305,0.12,0.184,0.47,0.1,0.09,0.19,53.2%,0.638,2.0,0.91,0.29,0.46,0.217,0.07,0.07,0.77,0.63,0.39
https://www.hltv.org/stats/players/23392/kate,Kate,0.71,1.06,0.71,77.6,103.4,0.483,1.38,0.16899999999999998,0.52,0.11,0.14,0.19399999999999998,0.19399999999999998,0.18,0.168,0.24,0.07,0.06,0.139,53.2%,0.7070000000000001,2.85,0.0,0.01,0.008,0.009000000000000001,0.0,0.0,0.89,0.47,0.27
