full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr,is_igl
https://www.hltv.org/stats/players/20282/krasnal,kRaSnaL,Poland,21 years,Monte,57/100,1.05,0.67,74.9,95.7,45.8%,1.05,16.2%,81/100,0.12,0.16,28.7%,28.7%,0.17,19.1%,44/100,0.09,0.1,19.4%,48.5%,73.7%,2.91,1/100,0.01,1.5%,0.8%,0.002,0.001,44/100,0.1,0.14,20.4%,22.0%,112,36/100,0.02,7.7%,58.4%,1m 2s,5.9%,43/100,4.5,0.81,0.46,0.03,1.89,False
https://www.hltv.org/stats/players/20387/xant3r,Xant3r,Russia,20 years,Nemiga,67/100,1.09,0.69,78.3,102.6,46.8%,1.27,16.7%,53/100,0.1,0.14,25.1%,25.1%,0.2,18.9%,68/100,0.11,0.12,23.7%,48.3%,71.1%,3.03,0/100,0.01,1.2%,0.9%,0.001,0.0006,32/100,0.1,0.13,18.3%,23.6%,114,42/100,0.02,8.9%,62.1%,1m 3s,5.5%,66/100,7.65,1.17,0.5,0.03,2.25,False
https://www.hltv.org/stats/players/21266/1eer,1eeR,Belarus,22 years,Nemiga,27/100,0.98,0.6,68.3,87.4,42.3%,0.95,14.0%,74/100,0.12,0.15,27.6%,27.6%,0.18,21.6%,27/100,0.08,0.1,17.5%,45.1%,71.9%,2.75,0/100,0.0,0.8%,0.4%,0.0007,0.0,42/100,0.1,0.13,21.3%,24.6%,114,46/100,0.02,9.6%,60.1%,1m 8s,7.6%,68/100,5.83,1.08,0.54,0.05,2.52,False
https://www.hltv.org/stats/players/22460/riskyb0b,riskyb0b,Russia,22 years,Nemiga,56/100,1.08,0.66,76.8,97.1,45.7%,1.14,15.6%,72/100,0.12,0.15,31.2%,31.2%,0.22,20.6%,60/100,0.11,0.1,21.1%,51.1%,71.4%,2.9,4/100,0.03,3.9%,2.0%,0.005,0.004,45/100,0.11,0.13,19.8%,25.4%,117,36/100,0.01,9.0%,61.5%,1m 5s,6.0%,65/100,7.33,1.21,0.48,0.04,2.38,False
https://www.hltv.org/stats/players/23317/khan,khaN,Kazakhstan,21 years,Nemiga,56/100,1.09,0.7,69.0,87.8,47.4%,1.05,17.1%,33/100,0.1,0.11,29.7%,29.7%,0.11,19.6%,47/100,0.1,0.07,17.1%,57.2%,73.2%,1.91,92/100,0.33,46.2%,25.8%,0.09,0.07,62/100,0.11,0.15,21.2%,29.4%,99,67/100,0.03,13.3%,57.1%,1m 9s,8.3%,60/100,3.37,1.02,0.69,0.08,2.37,False
https://www.hltv.org/stats/players/23685/zweih,zweih,Russia,17 years,Nemiga,74/100,1.08,0.71,77.2,97.5,47.7%,1.11,17.9%,40/100,0.1,0.13,26.2%,26.2%,0.19,19.7%,53/100,0.1,0.1,20.1%,51.0%,72.1%,2.8,0/100,0.0,0.6%,0.4%,0.0003,0.0003,60/100,0.11,0.15,20.8%,29.0%,108,44/100,0.02,9.8%,71.7%,1m 4s,5.5%,34/100,4.29,0.67,0.36,0.02,2.18,False
https://www.hltv.org/stats/players/7412/gla1ve,gla1ve,Denmark,29 years,ENCE,48/100,0.97,0.65,73.4,79.2,44.8%,,15.5%,27/100,0.1,0.12,21.8%,21.8%,0.16,18.8%,54/100,0.1,0.11,20.9%,48.6%,75.1%,2.92,3/100,0.02,3.4%,1.8%,0.006,0.005,9/100,0.08,0.09,14.5%,20.9%,95,32/100,0.02,6.8%,61.5%,0m 56s,4.4%,81/100,6.01,1.25,0.79,0.05,1.97,True
https://www.hltv.org/stats/players/12731/sdy,sdy,Ukraine,27 years,ENCE,67/100,1.1,0.7,77.1,96.7,47.6%,1.17,16.8%,42/100,0.1,0.13,24.3%,24.3%,0.14,19.4%,37/100,0.09,0.08,17.2%,51.4%,73.6%,2.93,4/100,0.02,3.5%,1.9%,0.005,0.004,60/100,0.11,0.16,22.3%,19.0%,111,58/100,0.02,11.2%,65.1%,1m 9s,7.9%,60/100,4.29,0.73,0.62,0.04,2.22,False
https://www.hltv.org/stats/players/21815/podi,podi,Finland,20 years,ENCE,75/100,1.14,0.74,75.6,98.6,50.6%,1.03,18.0%,10/100,0.08,0.1,20.3%,20.3%,0.11,17.3%,52/100,0.1,0.06,16.7%,62.9%,72.2%,2.27,92/100,0.34,45.3%,26.1%,0.09,0.07,52/100,0.1,0.15,20.9%,22.0%,102,67/100,0.02,18.3%,50.8%,1m 10s,13.6%,66/100,3.92,0.89,0.69,0.08,2.58,False
https://www.hltv.org/stats/players/21972/neityu,Neityu,France,19 years,ENCE,57/100,1.07,0.67,75.1,94.6,46.0%,1.07,16.1%,69/100,0.12,0.15,30.0%,30.0%,0.19,21.1%,28/100,0.08,0.08,16.6%,48.8%,70.3%,2.93,0/100,0.0,0.5%,0.3%,0.0004,0.0008,65/100,0.12,0.15,22.2%,25.9%,112,48/100,0.02,9.3%,57.9%,1m 7s,6.0%,65/100,5.61,0.87,0.54,0.05,2.31,False
https://www.hltv.org/stats/players/21288/venomzera,venomzera,Brazil,20 years,RED Canids,74/100,1.12,0.71,77.5,102.0,46.7%,1.23,17.9%,62/100,0.1,0.15,27.5%,27.5%,0.16,19.2%,78/100,0.13,0.12,25.0%,50.4%,71.9%,2.66,0/100,0.0,0.4%,0.3%,0.0007,0.0001,41/100,0.11,0.13,18.8%,20.5%,109,43/100,0.02,8.5%,64.6%,1m 4s,7.5%,50/100,3.75,0.88,0.59,0.03,2.06,False
