full_url,firepower,entrying,trading,opening,clutching,sniping,utility,player_name,map
https://www.hltv.org/stats/players/17306/degster?maps=de_dust2,0.92,0.09,0.32,0.89,0.6,0.95,0.58,degster,de_dust2
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_dust2,0.42,0.54,0.24,0.28,0.44,0.0,0.86,kyxsan,de_dust2
https://www.hltv.org/stats/players/4679/jks?maps=de_dust2,0.74,0.28,0.48,0.26,0.66,0.12,0.72,jks,de_dust2
https://www.hltv.org/stats/players/8520/naf?maps=de_dust2,0.59,0.17,0.29,0.35,0.58,0.21,0.76,NAF,de_dust2
https://www.hltv.org/stats/players/10394/twistzz?maps=de_dust2,0.57,0.44,0.71,0.32,0.71,0.05,0.58,Twistzz,de_dust2
https://www.hltv.org/stats/players/13915/yekindar?maps=de_dust2,0.84,0.45,0.13,0.87,0.39,0.07,0.65,YEKINDAR,de_dust2
https://www.hltv.org/stats/players/21763/ultimate?maps=de_dust2,0.6,0.59,0.16,0.86,0.49,0.93,0.45,ultimate,de_dust2
https://www.hltv.org/stats/players/2023/fallen?maps=de_dust2,0.62,0.1,0.13,0.83,0.45,0.95,0.65,FalleN,de_dust2
https://www.hltv.org/stats/players/10566/chelo?maps=de_dust2,0.62,0.44,0.31,0.63,0.38,0.13,0.53,chelo,de_dust2
https://www.hltv.org/stats/players/12553/yuurih?maps=de_dust2,0.19,0.3,0.53,0.1,0.78,0.01,0.75,yuurih,de_dust2
https://www.hltv.org/stats/players/15631/kscerato?maps=de_dust2,0.82,0.16,0.4,0.45,0.62,0.04,0.94,KSCERATO,de_dust2
https://www.hltv.org/stats/players/18676/skullz?maps=de_dust2,0.64,0.43,0.78,0.33,0.41,0.0,0.6,skullz,de_dust2
https://www.hltv.org/stats/players/7592/device?maps=de_dust2,0.9,0.02,0.07,0.88,0.35,0.92,0.39,device,de_dust2
