feature,pearson_r_with_residual,pearson_p,spearman_r_with_residual,spearman_p
dow_cos,-0.027014898151185775,2.999940148092264e-25,-0.042827039901582105,6.768935630715318e-61
hour_sin,0.026426170653146293,3.1321897101273774e-24,0.0002810270125698489,0.9140123974676587
hour_cos,0.02035859426186468,5.150198413466547e-15,0.02386583276753024,4.6748254476642726e-20
afternoon_peak,-0.019495216054920262,6.816676311572975e-14,-0.016813606099241887,1.0418924376079491e-10
weekend,0.017387431464114627,2.3687475761196005e-11,0.01830052963169001,2.033068317827719e-12
dow_sin,-0.012670876855144063,1.1232157293115638e-06,-0.005325996359204754,0.04071499162293498
night,0.010907875568913986,2.7741568989617786e-05,0.009985194590674908,0.00012469639066248772
