,temporal,velocity,amount,identity
temporal,1.0,-0.00028799461884306086,-0.06920160846629281,0.03821328221292837
velocity,-0.00028799461884306086,1.0,0.023605108963835372,-0.0245487004072791
amount,-0.06920160846629281,0.023605108963835372,1.0,0.06159278091502012
identity,0.03821328221292837,-0.0245487004072791,0.06159278091502012,1.0
