pc,explained_variance,cumulative
1,0.19717476610821155,0.19717476610821155
2,0.10869462921166709,0.30586939531987867
3,0.08871723175042628,0.39458662707030495
4,0.07874619783931096,0.4733328249096159
5,0.06986655906691998,0.5431993839765359
6,0.06582416485954144,0.6090235488360773
7,0.04815827146540265,0.65718182030148
8,0.040712481800433215,0.6978943021019132
9,0.038910284800102446,0.7368045869020157
10,0.03786341620047815,0.7746680031024938
