family,n_features,wilks_lambda,F,num_df,den_df,p_value
temporal,7,0.9980704823969501,163.09210181913335,7,590532.0,5.056052283228704e-242
velocity,10,0.9936473572991684,377.5403531164316,10,590529.0,0.0
amount,7,0.9980974697725987,160.80665097821483,7,590532.0,1.4316764886823415e-238
identity,2,0.8642289868891857,46386.899760226166,2,590537.0,0.0
all,26,0.8593186686716545,3718.247868266304,26,590513.0,0.0
