family,n_feat,across_match,within_match,degradation
all,108,0.4333690603787067,0.5987852804573062,0.16541622007859946
keydyn,29,0.3236870310825295,0.38692390139335475,0.06323687031082526
micro,26,0.2615219721329046,0.4015719899964273,0.14005001786352267
habit,14,0.13504823151125403,0.3483386923901393,0.21329046087888529
event,31,0.1261164701679171,0.28474455162558054,0.15862808145766344
macro,8,0.059664165773490534,0.0932475884244373,0.03358342265094676
