feature,eta2,p,-s1ngley,MOOOOORF,Wagman,D1NOZAVR,s1mple
knife_run_frac,0.7500293665101682,9.39848026856746e-53,0.17680534770452674,0.030705410183713217,0.0,0.0,0.262271878652782
wpn_knife_frac,0.7478691965076041,1.3342047322304364e-52,0.21360903184279156,0.037608662264832636,0.0,0.0,0.30897347035778056
strafe_overlap_frac,0.538903538360874,6.683090802580784e-38,0.5299995723691538,0.3376513406169198,0.058477365979245646,0.51816027269282,0.3214848780447662
combo_AD,0.4994816967744579,3.9115204713658544e-35,0.0460909998517149,0.020396219958940812,0.0,0.033667541356787706,0.011113962532727124
wpn_primary_frac,0.3811880617216487,7.57544973369765e-27,0.1958692332683408,0.6743341755425021,0.7291421031963373,0.6292299102647347,0.18910415418789137
frac_scoped,0.33784291981481823,8.078863313859912e-24,0.22433814084496556,0.001555169871667153,0.021927872369582664,0.0,0.13215498528472702
zoom_toggle_per_s,0.3329143109687791,1.7834684788635365e-23,0.10558991238031792,0.0026570372054478923,0.013290627993255866,0.0,0.10426942777777627
presses_SHIFT_per_s,0.32555135942695496,5.819523891023428e-23,0.09228417111982665,0.044471861767858695,0.07056212298578543,0.19336940955025905,0.1283956751786542
wpn_sniper_frac,0.3141472517317772,3.6309036432881755e-22,0.35365068865645705,0.010279941484861908,0.04424366772156832,0.0,0.2503664480808846
combo_trans_entropy,0.2887282985486048,2.1399469442299684e-20,0.40029739703025813,0.4188401781402892,0.2779656456841703,0.4963210725032068,0.4085017658824007
presses_total_per_s,0.2820301632702728,6.258072175569228e-20,1.6634539553619858,1.6342675395333657,1.1039801346022182,1.999837686421541,1.7784814758582812
combo_persistence,0.25556497124962224,4.3211833841104976e-18,0.9169134591073186,0.9025567029093999,0.9559070190078275,0.8926301225852786,0.9042086774667475
combo_switch_per_s,0.24788145937812975,1.4751306960979948e-17,2.166387403061067,2.4664338035792435,1.4640142580449889,2.9608483864114166,2.450556915056683
strafe_switch_per_s,0.2411060585405718,4.3524798969160013e-17,0.935437869951269,1.0224131961768739,0.6005479801454071,1.2003256177705537,0.9509374254897852
flick_per_s,0.23851486038156633,6.582202224279933e-17,1.0646007470022176,1.3030641538127026,0.5486334409984324,0.5160067615921742,1.0050102879262808
dwell_D_ms,0.22907349125603035,2.9683291684163883e-16,551.5275966215188,559.9530103415404,852.6868842540946,472.5502366422623,466.9704952386973
presses_A_per_s,0.2147307409592244,2.917528858109829e-15,0.4540780520223731,0.509536937070408,0.29471236516925214,0.5940060216148978,0.4989369227190057
presses_D_per_s,0.21319444015956454,3.725902178423756e-15,0.487692945810614,0.5179524374055782,0.31105242477903483,0.611918622193436,0.4554549403504089
dwell_A_ms,0.20876427897641547,7.540750830844448e-15,589.2640904194157,581.3573279975291,838.760498990667,483.5631765286304,530.5768392336857
crouchwalk_frac,0.16100558895344588,1.465860780507598e-11,0.06272935467401722,0.04057704445836708,0.013833488440344925,0.01884107550862142,0.051821432574261236
jump_per_s,0.15595277876455135,3.2543755239261987e-11,0.11685188170014314,0.09738989612132488,0.041352931555804245,0.09548187347733367,0.13578625817900175
