feature,g,mean_s1mple,mean_ZywOo,abs_g
presses_CTRL_per_s,-1.1314629738569753,0.05861299822420947,0.10913372576917421,1.1314629738569753
duck_per_s,-1.0996086524550155,0.05843491139157422,0.1076348803577412,1.0996086524550155
presses_W_per_s,1.0584520538076994,0.5423121893854309,0.3648485876171286,1.0584520538076994
fwd_switch_per_s,1.0120243558989375,0.7282136849999775,0.5158266122610358,1.0120243558989375
switch_per_s,0.9535363836164895,0.3822017875155927,0.2158271069777952,0.9535363836164895
combo_persistence,-0.8598313231919921,0.8255392618279849,0.8713076674584624,0.8598313231919921
combo_trans_entropy,0.8017394416801051,0.6303962102648517,0.5384417849844498,0.8017394416801051
dwell_D_ms,-0.7628814388238564,316.59046244274447,412.5068810766334,0.7628814388238564
combo_switch_per_s,0.7491488289359208,4.182451881999652,3.3071580801198417,0.7491488289359208
dwell_A_ms,-0.7189425462533754,356.9133909110609,471.03832523437023,0.7189425462533754
qswitch_per_s,0.6981062094648961,0.10243321580013695,0.057239629870911864,0.6981062094648961
crouchwalk_frac,-0.6957592481359557,0.035053130882869536,0.06316062856930885,0.6957592481359557
lat_reversal_per_s,0.6443653762522806,0.5693132695551033,0.40908461273256824,0.6443653762522806
yaw_rate_mean,0.4969696835693381,38.58251608369363,32.75265706786599,0.4969696835693381
yaw_rate_p95,0.48668606631394035,206.6465736126076,167.87565917968732,0.48668606631394035
presses_total_per_s,0.4777589194605069,2.5526039114725414,2.2440019899534134,0.4777589194605069
combo_AD,-0.46465598132251246,0.00842005988931546,0.013160336853980204,0.46465598132251246
shots_per_s,0.4305770849794785,0.09978106583407582,0.06283813797940185,0.4305770849794785
presses_SHIFT_per_s,-0.40988631719994134,0.1759313549816288,0.21826387260824578,0.40988631719994134
diag_frac,-0.39905153779399866,0.2127784165706153,0.24397510102791908,0.39905153779399866
presses_S_per_s,0.39139743269355903,0.19971955112668863,0.1637875378464325,0.39139743269355903
frac_scoped,-0.38659876028725726,0.13852575227556987,0.22646367130970144,0.38659876028725726
key_entropy,-0.35768397509627303,2.5325763587774035,2.7061807854170796,0.35768397509627303
presses_A_per_s,0.3513282181897391,0.740132241701644,0.651759815116879,0.3513282181897391
strafe_switch_per_s,0.3238483395955259,1.4693811381716768,1.3151910899226549,0.3238483395955259
counterstrafe_per_s,0.31910178882715357,0.6051109876225744,0.4959741277379329,0.31910178882715357
zoom_toggle_per_s,-0.29552290377398766,0.06389238682970245,0.09795087596038994,0.29552290377398766
wpn_sniper_frac,-0.2949328456442475,0.23627816878729213,0.3368701745133153,0.2949328456442475
presses_D_per_s,0.2688671682350638,0.7340388867482643,0.6675802088569055,0.2688671682350638
combo_A,-0.12252808827807973,0.13121093542198167,0.13819322369783865,0.12252808827807973
stop_release_frac,0.1166550931136206,0.36541749886563346,0.33805764589487863,0.1166550931136206
strafe_flight_ms,0.07573931331342532,38.45280910651768,35.45229888460219,0.07573931331342532
stop_counterstrafe_frac,-0.05125118888793772,0.5165823391665578,0.5301336075810351,0.05125118888793772
flick_per_s,0.013451289533642587,1.397366831781373,1.3877507830858273,0.013451289533642587
strafe_overlap_frac,-0.005216088538650842,0.3732760750392102,0.3739150526825479,0.005216088538650842
