demo,player,side,round,stops_per_s,stop_counterstrafe_frac,stop_counter_fwd_frac,stop_crouch_stop_frac,stop_release_frac,stop_ms_mean,stop_speed_before,stop_overshoot_frac,stop_shot_frac,stop_shot_delay_ms,stop_speed_at_shot,traversals_per_s,peeks_per_s,peek_jiggle_frac,peek_narrow_frac,peek_wide_frac,peek_commit_frac,peek_depth_mean,peek_depth_p90,peek_out_ms_mean,peek_return_frac,peek_peak_speed,peek_walk_frac,peek_yaw_swing,peek_shots_mean,peek_shift_frac,peek_lat_ratio,wide_peek_per_s,wide_depth_mean,wide_peak_speed,wide_return_frac
pilot_mirage,B0Tmaks,CT,12,0.2221450885109337,0.8,0.0,0.0,0.2,201.5625,174.43443908691407,0.7,0.5,78.125,36.533746337890626,0.06664352655328011,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,13,0.11993185689948893,0.7272727272727273,0.0,0.09090909090909091,0.18181818181818182,110.79545454545455,173.63184009898794,0.5454545454545454,0.18181818181818182,101.5625,49.9302921295166,0.01090289608177172,0.10902896081771721,0.4,0.1,0.0,0.5,85.1748650655395,130.1013425180674,1229.6875,0.5,140.9064514160156,0.38710617603460423,37.09759750366211,0.0,0.4,5.791152223047946,0.0,,,
pilot_mirage,B0Tmaks,CT,14,0.5439926487479899,1.0,0.0,0.0,0.0,149.07094594594594,159.93511138091216,0.6216216216216216,0.02702702702702703,140.625,0.0,0.014702504020215943,0.17643004824259131,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,55.397791280807716,86.66863494921166,705.7291666666666,0.8333333333333334,171.4596487681071,0.12492559523809522,21.797618865966797,0.0,0.08333333333333333,50.436626429303665,0.0,,,
pilot_mirage,B0Tmaks,CT,15,0.213511259382819,1.0,0.0,0.0,0.0,85.9375,160.86623001098633,0.5,0.25,0.0,27.060428619384766,0.0,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,16,0.7032967032967034,0.9375,0.0,0.0,0.0625,166.9921875,161.9791030883789,0.875,0.125,156.25,17.810070037841797,0.04395604395604396,0.08791208791208792,1.0,0.0,0.0,0.0,31.80947915109646,34.095619003754855,1007.8125,1.0,105.35296058654785,0.13020833333333334,4.201911926269531,0.5,0.0,30.816607858438886,0.0,,,
pilot_mirage,B0Tmaks,CT,17,0.11906976744186047,1.0,0.0,0.0,0.0,78.125,169.65726470947266,1.0,0.5,0.0,32.644439697265625,0.0,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,18,0.38948824343015215,0.8181818181818182,0.045454545454545456,0.0,0.13636363636363635,115.05681818181819,167.53652052445844,0.8181818181818182,0.2727272727272727,80.72916666666667,42.03937498728434,0.03540802213001383,0.03540802213001383,1.0,0.0,0.0,0.0,21.029768876527505,24.77987215789163,523.4375,1.0,128.2909278869629,0.4688914027149321,0.5623626708984375,0.0,0.5,54.73750800265994,0.0,,,
pilot_mirage,B0Tmaks,T,0,0.2563075690828995,0.9,0.0,0.0,0.1,120.3125,181.21503448486328,1.0,0.4,27.34375,31.033644199371338,0.0,0.025630756908289948,1.0,0.0,0.0,0.0,26.792375599065377,26.792375599065377,546.875,1.0,102.14064025878906,0.0,1.9366912841796875,0.0,0.0,7.020408016652125,0.0,,,
pilot_mirage,B0Tmaks,T,2,0.18565400843881857,1.0,0.0,0.0,0.0,122.1590909090909,160.71473832563922,0.6363636363636364,0.18181818181818182,46.875,39.48995900154114,0.03375527426160337,0.06751054852320675,0.5,0.5,0.0,0.0,48.55978261184319,80.63298999203337,1054.6875,1.0,144.64464378356934,0.3099485740242043,7.8019256591796875,0.0,0.25,19.48243475766745,0.0,,,
pilot_mirage,B0Tmaks,T,3,0.3052810902896082,0.7142857142857143,0.21428571428571427,0.0,0.07142857142857142,148.4375,163.58421652657645,0.5714285714285714,0.07142857142857142,0.0,31.977758407592773,0.06541737649063033,0.06541737649063033,0.6666666666666666,0.0,0.0,0.3333333333333333,67.09646376115427,123.2593221561279,968.75,0.6666666666666666,170.36763509114584,0.04329004329004329,10.142222086588541,1.3333333333333333,0.0,10.83734221820336,0.0,,,
