feature,family,icc1,eta2_H,k_rounds_R80,k_rounds_R90,g_max_pair,n_per_player_a05,n_per_player_bonf
strafe_overlap_frac,keydyn,0.6342753111910859,0.5836326579696809,2.306409739468693,5.189421913804559,5.747805302704098,10.0,4.094472857034956
combo_trans_entropy,keydyn,0.6023334143037193,0.5412451458359713,2.6408402805012723,5.941890631127862,6.041422665129443,10.0,3.9657272528616025
combo_switch_per_s,keydyn,0.5647972838309311,0.46990947247900067,3.0821870333168566,6.934920824962927,4.075711016602378,2.3835639584722528,5.335651413928972
presses_total_per_s,keydyn,0.5593568291946657,0.4631953589970873,3.1510702850611527,7.089908141387594,4.068497315205296,2.386379440065893,5.34413847054796
strafe_switch_per_s,micro,0.5310390720269633,0.41734161725077934,3.532402436476278,7.947905482071626,3.776019417761435,2.5148808401540172,5.7273319116534624
presses_D_per_s,keydyn,0.5064902757072954,0.36296704486070114,3.897486273382336,8.769344115110256,3.0741565540133386,2.996902475257497,7.103833384875054
counterstrafe_per_s,micro,0.47287333459174574,0.4044226335555267,4.458924848138017,10.032580908310539,2.9903630728920554,3.079940045788259,7.333204817911493
switch_per_s,habit,0.4656595369668901,0.4927559001565224,4.589966880211054,10.327425480474869,2.5619089262650685,3.6519229622637677,8.870535490578558
presses_A_per_s,keydyn,0.46165398929054857,0.41223143809885576,4.664497855086319,10.495120173944217,3.3320946393054185,2.781903231633121,6.500330858562928
qswitch_per_s,habit,0.372587088030843,0.553559238996531,6.735745087518646,15.155426446916955,2.191862178689984,4.465916499010983,10.975389484932327
combo_AD,keydyn,0.36478770261634863,0.4840052340969993,6.965281919623388,15.671884319152621,1.7455679129655581,6.27448584560306,15.495687287021294
duck_per_s,micro,0.35011687095295924,0.32948994964540873,7.424756508055935,16.70570214312585,1.8473813375969357,5.739256547548938,14.171266118370818
fwd_switch_per_s,micro,0.3479512752242967,0.3156858912612946,7.4958624520675095,16.865690517151897,2.3321540610120186,4.108471815488679,10.059759580483167
presses_CTRL_per_s,keydyn,0.3398799546177406,0.317940218271886,7.768861168934655,17.479937630102974,1.8240673754673487,5.853668695119744,14.455066911151782
wpn_sniper_frac,habit,0.3353498345715993,0.31946407502493374,7.927842472652171,17.83764556346738,1.4698428705016824,8.344952084276077,20.567308239516212
dwell_D_ms,keydyn,0.3346208327514994,0.3117148917310371,7.953828358829451,17.896113807366266,2.3748219495941254,4.012861141745012,9.812779093605226
presses_SHIFT_per_s,keydyn,0.3022428921910819,0.3154106016157005,9.234388974385372,20.77737519236708,1.5658489375596505,7.496013040294738,18.495161631841825
shots_per_s,micro,0.2989294897977893,0.3252629912001043,9.38108194914392,21.10743438557382,2.024205786138112,5.000843940409317,12.32796158229521
frac_scoped,micro,0.28954892589186665,0.34815788186453583,9.814591049437423,22.082829861234206,1.3225035270587677,10.032737391984234,24.669072845081445
combo_persistence,keydyn,0.28771139202913854,0.27211864473850794,9.902821058941223,22.28134738261775,1.9721350120859102,5.196911698752045,12.819665251353673
stop_release_frac,event,0.27616306120946243,0.335981387156293,10.484196338503454,23.58944176163277,1.9036925813661882,5.4806856734597815,13.528276066364496
stops_per_s,event,0.26234015581881087,0.21109202961127974,11.247379828357884,25.306604613805238,1.5952001279177008,7.26719678773856,17.93517094119008
presses_W_per_s,keydyn,0.2610790038150878,0.2384646722855732,11.321032873378996,25.47232396510274,1.648801801958365,6.8811675458830255,16.988676921529922
silencer_toggle_per_s,habit,0.2557465075805857,0.19233873169223406,11.640487285010533,26.1910963912737,1.8245302523693423,5.851352770107809,14.449326269935225
frac_walkkey,micro,0.2523952944368176,0.23220938928895468,11.848156000393763,26.65835100088597,2.7670719458439774,3.3424090367101873,8.046857076962237
zoom_toggle_per_s,habit,0.2514499475701619,0.35132306797748364,11.907738453132442,26.79241151954799,1.1303572578034662,13.318109690672388,32.61718572312227
accel_std,micro,0.24978168661796962,0.22836353995188077,12.013984268261545,27.031464603588475,2.6962985495447653,3.440644363519462,8.310140154983191
jump_per_s,micro,0.24872228089654883,0.08275421649399319,12.082194106541355,27.184936739718047,1.4364960804295248,8.681232814187878,21.386168712909637
presses_SPACE_per_s,keydyn,0.24872228089654883,0.08275421649399319,12.082194106541355,27.184936739718047,1.4364960804295248,8.681232814187878,21.386168712909637
dwell_A_ms,keydyn,0.24762896532497347,0.313201793122721,12.153199181487674,27.344698158347263,2.1893429204640418,4.473009587843631,10.993450236823586
presses_S_per_s,keydyn,0.24539309878304838,0.2253368918835591,12.300376904797938,27.67584803579536,1.807469379831675,5.937937200166679,14.663840443075125
dwell_SHIFT_ms,keydyn,0.245236700252293,0.27445932234343506,12.310772392080414,27.699237882180928,1.5086646171153009,7.981709318564536,19.681630820119704
frac_air,micro,0.2434780444895951,0.08052329270379326,12.428586028712495,27.964318564603108,1.4249507328085305,8.803298034424206,21.683174887771504
lat_reversal_per_s,micro,0.23091439902634958,0.19896518855394588,13.322436439070055,29.97548198790762,1.7140706617871244,6.460384377757196,15.953979981878707
strafe_flight_ms,keydyn,0.2207692742305077,0.21255796491113382,14.118463332100985,31.766542497227213,2.049162699200579,4.912371961279829,12.105452619673345
moving_shot_frac,micro,0.2202006407481354,0.18380028802061565,14.165251410758541,31.871815674206715,1.533191475018868,7.766583410448434,19.15645616098683
stop_counterstrafe_frac,event,0.21853912540750312,0.2868472254193744,14.303358689394065,32.18255705113664,2.354667853115583,4.057332521294236,9.927777942894858
wpn_nade_frac,habit,0.19686697648043003,0.18559602924240218,16.318288376809754,36.71614884782195,1.6539501122561975,6.846104284366111,16.90258415999412
combo_A,keydyn,0.18879137841338017,0.18344321155713117,17.187408204846868,38.67166846090545,2.0293771020867397,4.982229978608226,12.28118138921377
lat_speed_frac,micro,0.18498444140371412,0.14492312481533054,17.623440164193664,39.65274036943574,1.8708081866197561,5.628733849960125,13.896710550209164
stop_ms_mean,event,0.17279287263235688,0.1870074824955144,19.149102963931906,43.08548166884679,0.9685450207113789,17.747461116126352,43.29960195439572
dwell_S_ms,keydyn,0.16482244372370153,0.1896690697514543,20.26853958496915,45.60421406618059,2.1298092294382514,4.648458707859685,11.439015238539445
combo_D,keydyn,0.15987359618587932,0.14457317652272994,21.01976621173483,47.29447397640336,1.7031091886228056,6.527588834848485,16.11947024364775
nade_walk_frac,habit,0.15675602143026604,0.19261629267150865,21.517361078084186,48.41406242568941,1.3094281475247627,10.211056636757808,25.10145099852278
combo_none,keydyn,0.15541768765754008,0.1968993895361106,21.73709633882808,48.908466762363176,1.12776628507061,13.374307534475212,32.752894618801676
combo_WA,keydyn,0.15316044169394277,0.16505168101810802,22.11640418217855,49.76190940990174,1.7725207547383253,6.123462427387256,15.122766556696408
diag_frac,micro,0.15088559684667127,0.16860548309484677,22.51015129074758,50.647840404182055,2.300252409765817,4.183693732765058,10.253411702447073
dwell_CTRL_ms,keydyn,0.133954358248308,0.11111006811267395,25.8609171982691,58.187063696105476,1.2454831656969512,11.166584110999715,27.416036960837793
crouchwalk_frac,micro,0.13247242610110074,0.15589756014671272,26.19496296495142,58.9386666711407,1.2432898660856506,11.202028911682637,27.501824372546572
stop_overshoot_frac,event,0.13139839197220032,0.17544260612748847,26.441772840312023,59.49398889070205,1.0322592902931216,15.752533918237132,38.49126038414923
wpn_primary_frac,habit,0.1271298229499588,0.09286083772901883,27.463899714345487,61.793774357277336,1.6165220774697189,7.108915455371303,17.547371593321177
frac_ducked,micro,0.12615487091404376,0.1432944249480919,27.70705951358327,62.34088390556236,1.3027538863575798,10.304182072021366,25.32719694633472
path_len,macro,0.1195481764568583,0.0896877901945886,29.459314215834087,66.2834569856267,1.314612814424035,10.139704296787794,24.9284581845682
peek_walk_frac,event,0.11422135643367397,0.12276000602412715,31.01972069752753,69.79437156943693,1.9907144544498545,5.125101394182887,12.639792823519064
frac_slowmove,micro,0.11340409491823362,0.09772592967793638,31.272094917595982,70.36221356459096,1.1997426138387757,11.94690237079169,29.30381261902162
stop_counter_fwd_frac,event,0.11264166309038737,0.10280661090875208,31.510839331183078,70.89938849516192,0.9416509008007489,18.714112253532477,45.62832810495596
