feature,g,mean_ropz,mean_s1mple,abs_g
combo_trans_entropy,3.194066966113703,0.8626857932643555,0.5843607059502951,3.194066966113703
presses_D_per_s,2.6254570792015044,1.2833257125117596,0.5677192156580545,2.6254570792015044
strafe_flight_ms,-2.5642515129670604,8.035300916223003,70.42985785040109,2.5642515129670604
strafe_switch_per_s,2.5560221381941792,2.3938964352306153,1.2738560032262067,2.5560221381941792
combo_switch_per_s,2.4802133742946535,6.18321380409926,3.6794086623712112,2.4802133742946535
presses_total_per_s,2.337918066744544,3.8060239617553875,2.32330623539386,2.337918066744544
qswitch_per_s,-2.280690724636752,0.018216500067227987,0.1431752334894814,2.280690724636752
frac_slowmove,2.1891387364626143,0.5399631824461033,0.31105269557677745,2.1891387364626143
switch_per_s,-2.0909363990866083,0.12177587761861247,0.4936692259148539,2.0909363990866083
dwell_D_ms,-2.066982957748802,221.81774091518187,349.7793023459384,2.066982957748802
frac_run,-2.0139712628216455,0.18173258097203568,0.44404243648016256,2.0139712628216455
counterstrafe_per_s,1.9028710208185418,1.0968190391420585,0.45860377365784827,1.9028710208185418
frac_air,-1.8823953746463225,0.0400555157294604,0.10362026528903323,1.8823953746463225
jump_per_s,-1.8305019175008963,0.05366650467615452,0.14355353511764965,1.8305019175008963
presses_SPACE_per_s,-1.8305019175008963,0.05366650467615452,0.14355353511764965,1.8305019175008963
presses_A_per_s,1.8036416943987015,1.1145648574782,0.7061367875681521,1.8036416943987015
strafe_overlap_frac,1.6940452780310857,0.38857081387157666,0.2412671610051814,1.6940452780310857
speed_mean,-1.6619513187155792,95.30016490003459,150.59455346360647,1.6619513187155792
dwell_A_ms,-1.6352201887470372,245.34401106474516,333.7938111363898,1.6352201887470372
nade_walk_frac,-1.6348189995581903,0.02670017360286349,0.11002502260342364,1.6348189995581903
stop_release_frac,-1.6078331219789075,0.21350236888455684,0.4708125208125208,1.6078331219789075
presses_CTRL_per_s,1.6035960504199174,0.14546721122390846,0.042772772861384964,1.6035960504199174
duck_per_s,1.5962262976422104,0.14418946006594646,0.042772772861384964,1.5962262976422104
dwell_W_ms,-1.4840957138647701,731.7350438878534,1246.558279108745,1.4840957138647701
fwd_switch_per_s,1.3530595774138419,0.9499550955195986,0.6860974573354978,1.3530595774138419
combo_AD,1.319901210305127,0.009798504404222941,0.004982760606419679,1.319901210305127
frac_walkkey,1.3115921100618888,0.3561061317835201,0.19686844365174888,1.3115921100618888
wpn_nade_frac,-1.2690014762278867,0.06469029491184101,0.18470443605826242,1.2690014762278867
key_entropy,1.2191123941950865,2.7600580452679164,2.4707179719647945,1.2191123941950865
yaw_rate_mean,-1.1739122589975455,33.65201994735595,49.93525833849584,1.1739122589975455
wpn_knife_frac,-1.140297818710718,0.19769555608645942,0.4205717369832961,1.140297818710718
knife_run_frac,-1.1321363822598796,0.1519670151446447,0.3291206005910159,1.1321363822598796
sniper_zoom_frac,1.118033988749895,0.5898876404494383,0.5898876404494382,1.118033988749895
presses_SHIFT_per_s,1.1132880950423725,0.24892065200451607,0.15304772350312693,1.1132880950423725
combo_persistence,-1.094015150042395,0.8024709560690925,0.8403859728117684,1.094015150042395
combo_D,1.0512576601791286,0.1370258961372063,0.08670374617687057,1.0512576601791286
speed_p90,-0.987870156849638,220.35259704589842,249.99498901367187,0.987870156849638
presses_S_per_s,0.9834350885184172,0.3615248544753113,0.22946038890575826,0.9834350885184172
presses_W_per_s,0.9379289542040814,0.5985541693855367,0.48061581177973356,0.9379289542040814
yaw_rate_p95,-0.871518658592927,182.1483011881509,264.52004882812497,0.871518658592927
lat_speed_frac,0.8288122663210142,0.37257537114648426,0.28437457740790967,0.8288122663210142
crouchwalk_frac,0.7951731524379227,0.05875664851628266,0.02710090239798494,0.7951731524379227
combo_A,0.7706708717055171,0.13075001579909704,0.09159641082334521,0.7706708717055171
frac_ducked,0.6444445372024281,0.11703775740267335,0.05614686140348842,0.6444445372024281
shots_per_s,-0.5305785920033377,0.05565882761647689,0.0819378572241477,0.5305785920033377
dwell_CTRL_ms,-0.45385705630974865,922.9940721553772,1320.6281565656566,0.45385705630974865
combo_WA,-0.43413041190512475,0.08805987104647973,0.10064664075166856,0.43413041190512475
stops_per_s,-0.23389319166887565,0.15888987168440405,0.18472077171304,0.23389319166887565
stop_counterstrafe_frac,0.199549275386637,0.540354846052602,0.4904928404928405,0.199549275386637
combo_SA,0.18766936468850376,0.03440737583173562,0.03079855824330314,0.18766936468850376
lat_reversal_per_s,0.1479853018613109,0.654208296590863,0.6126779702309968,0.1479853018613109
peek_shift_frac,-0.012076050536635127,0.17709084896584895,0.18,0.012076050536635127
