feature,eta2,p,ropz,s1mple,ZywOo,flameZ
combo_trans_entropy,0.5888489344294788,9.592143845990006e-81,0.8138986007720372,0.6303962102648517,0.4981876511684293,0.6569594431136737
combo_switch_per_s,0.5566359085052757,2.3806586790748653e-76,6.055173340269414,4.182451881999652,3.239653793087326,4.321865058988793
presses_total_per_s,0.5148546123769766,1.1906875876431245e-70,3.6792029791782412,2.5526039114725414,2.2284104738065116,2.843006414041778
strafe_overlap_frac,0.5044023304956237,3.1718548976150503e-69,0.36884588805478347,0.37299363079124875,0.26995684052611724,0.5346646050413126
dwell_A_ms,0.46191279269017943,1.973329885941386e-63,260.62383267381307,356.9496098764926,456.6431622474445,437.528794388507
presses_D_per_s,0.442824614979063,7.89784931380262e-61,1.2455396662326084,0.7340388867482643,0.6558536074643557,0.7944177992784636
dwell_D_ms,0.42382525638992435,3.0712996833979003e-58,240.40320642541707,316.5935299642089,408.6798442975294,379.26986646236895
presses_A_per_s,0.3782878789896823,4.9289932143785245e-52,1.0786069943592302,0.740132241701644,0.6347974804086081,0.8098261780156721
combo_AD,0.33246582208529174,8.588504182862735e-46,0.00992597696535192,0.00842005988931546,0.007000052191660917,0.021397886448891772
presses_S_per_s,0.3200727950917852,4.1808473536449406e-44,0.3700449981971967,0.19971955112668863,0.17365088219269495,0.2715801926447798
combo_persistence,0.23613476177677314,1.0965547150647383e-32,0.7939403320166238,0.8255392618279849,0.8626757844182686,0.8460320718585777
presses_W_per_s,0.23577640796390067,1.2266905344252741e-32,0.5589554531380367,0.5423121893854309,0.3768418269697034,0.500747768922075
presses_CTRL_per_s,0.16959470296458137,1.1851277170919142e-23,0.11974899848597842,0.05861299822420947,0.10134357210693655,0.12525081574923996
presses_SHIFT_per_s,0.0661375299987406,1.0892033325575211e-09,0.24613771463169634,0.1759313549816288,0.20945851133454826,0.23111147281897582
combo_A,0.028988125710293133,9.285334916240442e-05,0.14154844943567116,0.13121093542198167,0.13570142986955647,0.15744447341599602
combo_D,0.019543977397172577,0.0015680123500793868,0.1516658123144082,0.12391534504125007,0.1313537498407044,0.1318891407622546
dwell_SHIFT_ms,0.014087789771577207,0.00782274176570402,1419.0883306447686,1636.6949965847673,1466.8579527846055,1457.136464960446
