feature,g,mean_ropz,mean_s1mple,abs_g
presses_D_per_s,1.9136543595827293,1.2726172052063192,0.7340388867482643,1.9136543595827293
strafe_switch_per_s,1.7651908105945733,2.3731355333675546,1.4693811381716768,1.7651908105945733
presses_total_per_s,1.584214511345054,3.658021847500523,2.5526039114725414,1.584214511345054
combo_trans_entropy,1.5462667541989894,0.8131531877288779,0.6303962102648517,1.5462667541989894
combo_switch_per_s,1.4912990981789913,6.050153573412621,4.182451881999652,1.4912990981789913
counterstrafe_per_s,1.4202946571627455,1.11183250218394,0.6051109876225744,1.4202946571627455
presses_A_per_s,1.3797663691017723,1.1039600936994478,0.740132241701644,1.3797663691017723
presses_CTRL_per_s,1.313691821375143,0.11851537079648564,0.05861299822420947,1.313691821375143
switch_per_s,-1.3122400892115305,0.15864923658037366,0.3822017875155927,1.3122400892115305
duck_per_s,1.3094177433816934,0.11807899298591569,0.05843491139157422,1.3094177433816934
presses_S_per_s,1.1808315384542138,0.33442903728566326,0.19971955112668863,1.1808315384542138
dwell_D_ms,-1.1433697970250096,235.75075614583682,316.59046244274447,1.1433697970250096
qswitch_per_s,-1.1227570606653692,0.03241270287384881,0.10243321580013695,1.1227570606653692
wpn_sniper_frac,-0.8674997802866597,0.009270452005978355,0.23627816878729213,0.8674997802866597
frac_scoped,-0.8070527136345963,0.004157986334370686,0.13852575227556987,0.8070527136345963
dwell_A_ms,-0.8037505262978255,253.52264085636935,356.9133909110609,0.8037505262978255
strafe_flight_ms,-0.7305988219709846,13.843988726601411,38.45280910651768,0.7305988219709846
zoom_toggle_per_s,-0.6618481090917695,0.003657884885219573,0.06389238682970245,0.6618481090917695
lat_reversal_per_s,0.6500887364837636,0.7990852680782338,0.5693132695551033,0.6500887364837636
presses_SHIFT_per_s,0.5722471192621676,0.22718804568469445,0.1759313549816288,0.5722471192621676
fwd_switch_per_s,0.56176796551163,0.8623965688088209,0.7282136849999775,0.56176796551163
combo_persistence,-0.47637466627028896,0.8013968283480655,0.8255392618279849,0.47637466627028896
key_entropy,0.4724486771546177,2.7594056137624827,2.5325763587774035,0.4724486771546177
combo_AD,0.4564763051417536,0.011234711831840355,0.00842005988931546,0.4564763051417536
diag_frac,0.4205898086758232,0.24520949028035793,0.2127784165706153,0.4205898086758232
crouchwalk_frac,0.367323241430174,0.0487795105673466,0.035053130882869536,0.367323241430174
stop_release_frac,-0.23297107593068409,0.31541099868435657,0.36541749886563346,0.23297107593068409
flick_per_s,0.22274602901708115,1.5596931834482501,1.397366831781373,0.22274602901708115
shots_per_s,-0.18497134643421934,0.0833501252197916,0.09978106583407582,0.18497134643421934
combo_A,0.15225502831652613,0.14001021101988276,0.13121093542198167,0.15225502831652613
stop_counterstrafe_frac,0.14598359810760075,0.5529119944491631,0.5165823391665578,0.14598359810760075
yaw_rate_p95,-0.07372409455276067,200.88054985434314,206.6465736126076,0.07372409455276067
yaw_rate_mean,-0.033690394895396096,38.1674135761608,38.58251608369363,0.033690394895396096
presses_W_per_s,-0.0026089903088224536,0.54184293277046,0.5423121893854309,0.0026089903088224536
strafe_overlap_frac,0.000940399681795518,0.3733655647450226,0.3732760750392102,0.000940399681795518
