rounds,obs,acc_mean,acc_sd
3,60,0.17687074829931973,0.06425061129934333
5,100,0.3732222453896766,0.07313915354718553
7,140,0.41252285419986157,0.03745541129079725
9,180,0.4518711427855797,0.030068735713915978
11,220,0.4657537714363492,0.027579538493420066
13,260,0.48443887328645696,0.01505844567445184
15,300,0.5012135922330097,0.015972562315857308
