rounds,obs,acc_mean,acc_sd
3,30,0.13333333333333333,0.0
7,70,0.2971188475390156,0.10082818768644987
9,90,0.3294823232323232,0.04526682442001135
11,110,0.3804713804713805,0.058948286831383534
13,130,0.5347355769230768,0.03961243804389052
15,150,0.5341666666666667,0.05093182011572235
17,170,0.5111869747899159,0.016119900220544384
19,190,0.5531914893617021,0.0
