feature,g,mean_kL1o,mean_smekk-,abs_g
diag_frac,1.5415557208373358,0.3035508758127862,0.2127606166022674,1.5415557208373358
combo_WD,1.267161034749276,0.13369651804244248,0.07971656860555837,1.267161034749276
strafe_overlap_frac,1.1518013072761084,0.5875935639280548,0.4643006173345206,1.1518013072761084
combo_AD,0.48135099019028815,0.016306282419245782,0.012220459998560885,0.48135099019028815
presses_CTRL_per_s,-0.3706877054894161,0.08056648070885,0.09840493800208144,0.3706877054894161
duck_per_s,-0.3470069310694651,0.08056648070885,0.09738110181587124,0.3470069310694651
combo_trans_entropy,0.34632958457103485,0.6270034106255299,0.5963653203151998,0.34632958457103485
yaw_rate_mean,-0.3131093440593203,30.9332729718253,34.63302890697029,0.3131093440593203
combo_persistence,-0.2412608753802906,0.8228862501227333,0.8329554794055481,0.2412608753802906
yaw_rate_p95,0.22717232050696481,172.38352179276302,155.4264391447368,0.22717232050696481
jump_per_s,0.21136982280431102,0.010049248558930501,0.006789457863104853,0.21136982280431102
presses_SPACE_per_s,0.21136982280431102,0.010049248558930501,0.006789457863104853,0.21136982280431102
flick_per_s,-0.10747569767727215,0.8814160192829379,0.9649161714428086,0.10747569767727215
dwell_SPACE_ms,0.09102471800037149,132.6754385964912,130.20833333333334,0.09102471800037149
