demo,player,side,round,secs_alive,event,tick,technique,stop_ms,speed_before,speed_after,crouch,shot_after,shot_delay_ms,speed_at_shot,overshoot,yaw_move_deg,kind,depth_u,out_ms,total_ms,returned,peak_speed,walk_frac,yaw_swing_deg,shots,lat_ratio,shift_peek
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,99220,,,,,,,,,,,commit,127.49515733419474,1484.375,4984.375,0.0,184.50335693359375,0.3125,20.149612426757812,0.0,7.216862420383835,0.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,99640,,,,,,,,,,,commit,88.57550295413503,1484.375,4984.375,0.0,117.00352478027344,0.6666666666666666,156.4181137084961,0.0,1.2398832201101442,1.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,100146,,,,,,,,,,,commit,146.21958333178176,1484.375,4984.375,0.0,170.609375,0.34375,8.403854370117188,0.0,6.908375878480489,0.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,100648,,,,,,,,,,,commit,128.31042687209916,1359.375,4984.375,0.0,117.00151062011719,0.8295454545454546,6.935462951660156,0.0,2.692187356004501,1.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,101010,,,,,,,,,,,jiggle,21.035144824788205,1234.375,1234.375,1.0,141.41015625,0.0,1.0309982299804688,0.0,11.334753387707591,0.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,101444,,,,,,,,,,,jiggle,9.503032873305177,562.5,562.5,1.0,93.03401947021484,0.0,0.46863555908203125,0.0,13.444663832275406,0.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,101641,,,,,,,,,,,commit,121.46809239880923,1484.375,4984.375,0.0,166.23629760742188,0.0,7.560310363769531,0.0,6.918924456340736,0.0
pilot_mirage,B0Tmaks,CT,13,91.71875,peek,102472,,,,,,,,,,,jiggle,31.463922636024744,890.625,890.625,1.0,166.04296875,0.6379310344827587,0.8123016357421875,0.0,4.349568836098888,1.0
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108210,counterstrafe,62.5,152.9189453125,27.271453857421875,0.0,0.0,,,1.0,0.1558685302734375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108226,counterstrafe,312.5,152.9189453125,8.944851875305176,0.0,0.0,,,1.0,0.2805023193359375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108230,counterstrafe,375.0,152.9189453125,32.887447357177734,0.0,0.0,,,1.0,0.4054718017578125,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108331,counterstrafe,62.5,155.76400756835938,34.19356918334961,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108349,counterstrafe,343.75,155.76400756835938,23.09430694580078,0.0,0.0,,,1.0,0.24993896484375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108429,counterstrafe,93.75,151.3933868408203,30.611122131347656,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108476,counterstrafe,93.75,167.9905242919922,30.750654220581055,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108542,counterstrafe,171.875,161.39300537109375,32.18073272705078,0.0,0.0,,,0.0,0.31243896484375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108602,counterstrafe,109.375,151.48426818847656,19.106327056884766,0.0,0.0,,,1.0,0.0937347412109375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108636,counterstrafe,78.125,160.28794860839844,32.57667922973633,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108663,counterstrafe,78.125,165.6057586669922,23.254610061645508,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108698,counterstrafe,125.0,159.21681213378906,29.169490814208984,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108725,counterstrafe,78.125,163.4217529296875,19.111650466918945,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108786,counterstrafe,78.125,150.26507568359375,29.092086791992188,0.0,0.0,,,0.0,0.0312347412109375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,108843,counterstrafe,140.625,151.96417236328125,25.11611557006836,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109029,counterstrafe,78.125,173.43865966796875,21.995479583740234,0.0,0.0,,,1.0,0.03125,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109048,counterstrafe,375.0,173.43865966796875,15.99107551574707,0.0,0.0,,,1.0,0.0937347412109375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109115,counterstrafe,250.0,154.4598846435547,23.893306732177734,0.0,0.0,,,0.0,0.0312347412109375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109154,counterstrafe,62.5,154.67572021484375,32.6812629699707,0.0,0.0,,,1.0,0.0312347412109375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109189,counterstrafe,171.875,159.05145263671875,23.070646286010742,0.0,0.0,,,0.0,0.1562042236328125,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109239,counterstrafe,78.125,181.138427734375,26.2275390625,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109386,counterstrafe,93.75,172.75790405273438,31.762432098388672,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109423,counterstrafe,140.625,150.2472381591797,32.95423889160156,0.0,0.0,,,1.0,0.24993896484375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109454,counterstrafe,78.125,170.81942749023438,20.9642276763916,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109515,counterstrafe,78.125,159.13107299804688,29.815292358398438,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109588,counterstrafe,78.125,152.81002807617188,21.51824378967285,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109613,counterstrafe,109.375,151.00491333007812,33.74744415283203,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109642,counterstrafe,62.5,155.86216735839844,34.00713348388672,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109691,counterstrafe,156.25,161.268310546875,28.7823486328125,1.0,0.0,,,0.0,0.0312347412109375,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109764,counterstrafe,62.5,154.15330505371094,34.38761901855469,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109802,counterstrafe,171.875,158.54730224609375,31.410953521728516,0.0,0.0,,,1.0,0.03125,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109832,counterstrafe,62.5,154.22779846191406,32.64060592651367,0.0,0.0,,,0.0,0.0,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,109849,counterstrafe,328.125,154.22779846191406,33.72233581542969,0.0,0.0,,,1.0,0.5620269775390625,,,,,,,,,,,
pilot_mirage,B0Tmaks,CT,14,68.015625,stop,111238,counterstrafe,93.75,156.42161560058594,29.871797561645508,0.0,0.0,,,0.0,0.0624847412109375,,,,,,,,,,,
