feature,g,mean_ropz,mean_ZywOo,abs_g
combo_trans_entropy,3.5664006117245113,0.861047320751666,0.506145671758887,3.5664006117245113
combo_switch_per_s,3.3672586619288114,6.14854251039981,3.2014229913158805,3.3672586619288114
strafe_switch_per_s,3.1281798840102306,2.41990696679649,1.2455232570434225,3.1281798840102306
presses_D_per_s,2.9406794541101475,1.2747975150574336,0.6333015335387874,2.9406794541101475
presses_total_per_s,2.8046051013680335,3.82110028009326,2.265034024060652,2.8046051013680335
counterstrafe_per_s,2.584736180537523,1.1066050445899522,0.39683982858655187,2.584736180537523
presses_A_per_s,2.4987467981938867,1.1481050528085648,0.6144177375387805,2.4987467981938867
fwd_switch_per_s,2.0245148152880144,0.9034970339209489,0.5250146938056015,2.0245148152880144
strafe_overlap_frac,1.8690578942150005,0.40294770535779956,0.24498278185650046,1.8690578942150005
dwell_A_ms,-1.831402330052718,246.5433297428192,475.3859483840189,1.831402330052718
dwell_D_ms,-1.6536959826103717,216.59541040122804,353.17314009345824,1.6536959826103717
presses_S_per_s,1.6391585009258802,0.35196726557085056,0.1528389677202583,1.6391585009258802
dwell_S_ms,-1.466489041106049,226.03656747193605,410.7997335089764,1.466489041106049
presses_W_per_s,1.449347844452527,0.5667932540573661,0.3865259683918191,1.449347844452527
strafe_flight_ms,-1.3906213548509392,4.185378423448853,50.72964946609445,1.3906213548509392
combo_persistence,-1.349397962963453,0.7931111434796686,0.8625810603093693,1.349397962963453
stop_release_frac,-1.1615435396968772,0.18758889787553878,0.40848824611696466,1.1615435396968772
lat_reversal_per_s,1.138388405727997,0.6996325906909501,0.38075514896701834,1.138388405727997
qswitch_per_s,-1.0544906984642306,0.016788735917347412,0.07371283632013595,1.0544906984642306
wpn_sniper_frac,-1.0432312863845543,0.0,0.29958982294253134,1.0432312863845543
frac_scoped,-0.9885007499075551,0.0,0.1908387783538219,0.9885007499075551
zoom_toggle_per_s,-0.9572387770475981,0.0,0.10182159985736736,0.9572387770475981
accel_std,0.8147584121696798,519.9552799996573,425.6752857898938,0.8147584121696798
switch_per_s,-0.7931205070124573,0.11675407034042681,0.21156725801681475,0.7931205070124573
combo_SD,0.780471945620665,0.027258085347942815,0.014755826440003332,0.780471945620665
wpn_primary_frac,0.6825038505967989,0.46195900006053514,0.22076324606684922,0.6825038505967989
combo_AD,0.5314378733874564,0.009156824413849456,0.0052004085137966494,0.5314378733874564
combo_D,0.5027012662819805,0.13028370859857963,0.10321707308387339,0.5027012662819805
dwell_SHIFT_ms,0.401086821740097,1545.9537404748621,1294.9969480229806,0.401086821740097
frac_slowmove,0.39202261032841584,0.5314771549079995,0.4808728110722574,0.39202261032841584
shots_per_s,-0.3555523528520187,0.05062868870714354,0.07649156150784368,0.3555523528520187
stop_ms_mean,-0.3307286511347987,152.14198000250002,164.40500548398413,0.3307286511347987
combo_none,-0.30832400920770103,0.20868012543038356,0.24628952311532903,0.30832400920770103
frac_walkkey,0.30638818294637515,0.3520428042699183,0.31837133950097,0.30638818294637515
duck_per_s,0.29386877383944116,0.15173499095525536,0.13214232599492232,0.29386877383944116
presses_CTRL_per_s,0.2929162774867416,0.15269330432372685,0.1329408885822651,0.2929162774867416
moving_shot_frac,-0.29066230821887157,0.409375,0.5023042929292929,0.29066230821887157
combo_WA,-0.2748130887891354,0.10042154241253443,0.1117553567985397,0.2748130887891354
peek_walk_frac,-0.27017151964536784,0.21899762782024013,0.28271829746435334,0.27017151964536784
stop_counterstrafe_frac,0.24984912327471157,0.49759567999399695,0.4235797216703967,0.24984912327471157
presses_SHIFT_per_s,-0.22063106873267452,0.2537771283921583,0.28001588077001505,0.22063106873267452
nade_walk_frac,-0.20304642612416862,0.031120844223329825,0.04106920608887657,0.20304642612416862
wpn_nade_frac,0.18759680888749236,0.06489301233674173,0.04952549526745506,0.18759680888749236
diag_frac,0.18198678574425398,0.2611991589420263,0.2484138598597185,0.18198678574425398
presses_SPACE_per_s,0.1543355135070523,0.07296675988315968,0.06499304751872689,0.1543355135070523
jump_per_s,0.1543355135070523,0.07296675988315968,0.06499304751872689,0.1543355135070523
crouchwalk_frac,-0.1539789048896499,0.06357790112862707,0.0711369993571164,0.1539789048896499
silencer_toggle_per_s,0.15201881052712626,0.007158511530902306,0.004733467502203869,0.15201881052712626
stop_counter_fwd_frac,0.1465253406478529,0.02500563952176854,0.019670893719806758,0.1465253406478529
dwell_CTRL_ms,-0.1463298619952523,839.999460366533,925.1084893296807,0.1463298619952523
stops_per_s,-0.13477457235037305,0.14359868132293746,0.15889053138370363,0.13477457235037305
peek_lat_ratio,-0.082064517161857,8.129960293915158,8.670202113717206,0.082064517161857
combo_S,0.06831285827762439,0.022507691555692967,0.021442792706929323,0.06831285827762439
stop_overshoot_frac,-0.06518147374053747,0.5800719597528854,0.6015911434103653,0.06518147374053747
yaw_rate_mean,0.056498906281278995,37.32385078374516,36.569902015168594,0.056498906281278995
frac_ducked,-0.052726610936383984,0.10985845575330502,0.11472892325704917,0.052726610936383984
combo_A,-0.04379713094572399,0.1294078551801795,0.13159384067278895,0.04379713094572399
lat_speed_frac,0.0339435741038728,0.3563924854403302,0.3528068041988716,0.0339435741038728
frac_air,-7.189406937561041e-06,0.053072397883775484,0.053072655669441963,7.189406937561041e-06
