family,n_feat,across_match,within_match,degradation
all,108,0.44103489771359805,0.6203369434416366,0.17930204572803854
keydyn,29,0.33393501805054154,0.4037304452466907,0.06979542719614917
micro,26,0.24368231046931407,0.4037304452466907,0.16004813477737664
habit,14,0.11010830324909747,0.33273164861612514,0.22262334536702766
event,31,0.09807460890493382,0.26594464500601683,0.16787003610108303
macro,8,0.056558363417569195,0.1197352587244284,0.06317689530685922
