rounds,obs,acc_mean,acc_sd
3,30,0.2,0.0
7,70,0.2857142857142857,0.1295878193174493
9,90,0.4111111111111111,0.07934920476158722
11,110,0.49090909090909085,0.04065578140908708
13,130,0.5826923076923076,0.053536195796442525
15,150,0.5533333333333333,0.041096093353126494
17,170,0.6220588235294118,0.031915491785603975
19,190,0.5684210526315789,0.0
