demo,player,side,round,secs_alive,speed_mean,speed_std,speed_p90,frac_still,frac_walkkey,frac_slowmove,frac_run,accel_std,counterstrafe_per_s,strafe_switch_per_s,fwd_switch_per_s,diag_frac,key_entropy,jump_per_s,frac_air,duck_per_s,frac_ducked,crouchwalk_frac,yaw_rate_mean,yaw_rate_p95,flick_per_s,lat_reversal_per_s,lat_speed_frac,frac_scoped,speed_at_fire,moving_shot_frac,shots_per_s,path_len,path_per_s,path_efficiency,radius_gyration,max_dist_start,disp_10s,disp_20s,z_range,dwell_W_ms,presses_W_per_s,dwell_S_ms,presses_S_per_s,dwell_A_ms,presses_A_per_s,dwell_D_ms,presses_D_per_s,dwell_SHIFT_ms,presses_SHIFT_per_s,dwell_CTRL_ms,presses_CTRL_per_s,dwell_SPACE_ms,presses_SPACE_per_s,presses_total_per_s,strafe_flight_ms,strafe_overlap_frac,combo_none,combo_W,combo_S,combo_A,combo_WA,combo_SA,combo_D,combo_WD,combo_SD,combo_AD,combo_persistence,combo_trans_entropy,combo_switch_per_s,wpn_knife_frac,wpn_pistol_frac,wpn_primary_frac,wpn_sniper_frac,wpn_nade_frac,knife_run_frac,nade_walk_frac,switch_per_s,qswitch_per_s,reload_per_s,silencer_toggle_per_s,zoom_toggle_per_s,sniper_zoom_frac,reload_ammo_ratio
pilot_mirage,B0Tmaks,CT,12,45.02,142.67072388053933,107.02649680610098,250.00115966796875,0.2818465810482471,0.08399861159319681,0.16313779937521694,0.47830614370010416,568.9295803529529,0.5109337035751476,1.2440124956612288,0.4442901770218674,0.17250954529677195,2.3866042538303502,0.1555015619576536,0.10690732384588685,0.04442901770218674,0.02568552585907671,0.02568552585907671,35.50877990722656,197.9296875,0.9552238805970149,0.6220062478306144,0.18917042693509198,0.0,113.87076572938399,0.6363636363636364,0.2443595973620271,6421.6977930016865,142.65486246168274,0.18600189175676518,817.9828892051466,2167.142292843428,2019.646038417228,1348.8771397301578,159.578125,1107.03125,0.4442901770218674,265.625,0.02221450885109337,229.33467741935485,0.6886497743838945,398.75,0.5553627212773342,1890.625,0.04442901770218674,640.625,0.04442901770218674,15.625,0.1555015619576536,1.9548767788962167,38.143382352941174,0.5235294117647059,0.30857341200971883,0.32488719194724053,0.0003471017007983339,0.04928844151336342,0.09337035751475183,0.0020826102047900035,0.1350225616105519,0.06976744186046512,0.003471017007983339,0.009371745921555015,0.7632346652694687,0.6248794674628958,3.2655328011107256,0.5911141964595626,0.40888580354043735,0.0,0.0,0.0,0.3304408191600139,0.0,0.5331482124262409,0.26657410621312044,0.0,0.5331482124262409,0.0,,
pilot_mirage,B0Tmaks,CT,13,91.72,87.67478013095499,84.50836329155315,247.30454406738286,0.19352640545144803,0.19540034071550255,0.595741056218058,0.17512776831345825,555.6618284975349,1.9734241908006813,2.573083475298126,0.5233390119250426,0.17955706984667802,2.985139174001116,0.04361158432708688,0.02555366269165247,0.21805792163543442,0.3190800681431005,0.155366269165247,21.554393732561977,91.16474609374892,0.8504258943781942,0.5560477001703578,0.5931856899488926,0.0,165.668053817749,0.8,0.054514480408858604,9892.697559615437,107.85905346088381,0.22630800652307026,788.1894282899913,2282.184332587627,1257.7840154361124,2232.74697784949,287.156982421875,956.875,0.272572402044293,549.5923913043479,0.25076660988074956,274.6642561983471,1.3192504258943782,247.2826086956522,1.253833049403748,943.2565789473684,0.2071550255536627,1596.875,0.21805792163543442,15.625,0.04361158432708688,3.5652470187393526,1.0752347469582086,0.5498148474695821,0.14310051107325383,0.15706984667802384,0.06201022146507666,0.22487223168654175,0.06933560477001703,0.03356047700170358,0.2018739352640545,0.03424190800681431,0.039352640545144806,0.03151618398637138,0.7803797790351509,0.617073261606319,5.713117546848381,0.1879045996592845,0.0034071550255536627,0.8086882453151618,0.0,0.0,0.1706984667802385,0.0,0.1635434412265758,0.11993185689948893,0.0,0.1635434412265758,0.0,,
pilot_mirage,B0Tmaks,CT,14,68.02,119.37196935261773,86.6854468866258,249.99884033203125,0.14610613370089592,0.27038823799678385,0.5194118998391913,0.25775327360441075,542.2708776610276,1.043877785435332,1.9554330346887203,0.32345508844475074,0.19641626464507236,2.8835194397591213,0.014702504020215943,0.010797151389846084,0.08821502412129566,0.09924190213645762,0.0629450953365495,21.62360718671013,123.957470703125,0.5881001608086377,0.7204226969905813,0.4736963014013324,0.0,100.06572723388672,0.3333333333333333,0.04410751206064783,8118.683807224652,119.36498131458252,0.08983017511014514,809.9973468910426,2455.9176956602328,2085.6918546761776,2396.351910677559,155.264404296875,1600.1838235294117,0.24994256834367104,888.0208333333334,0.08821502412129566,245.53571428571428,1.029175281415116,334.3253968253968,0.9262577532736044,766.2760416666666,0.35286009648518263,1252.6041666666667,0.08821502412129566,15.625,0.014702504020215943,2.7493682517803815,-20.903117118537203,0.5635245901639344,0.17918676774638181,0.24695612221456467,0.03491844704801286,0.13760624856420858,0.06616126809097174,0.025499655410062026,0.18148403399954055,0.08683666436940041,0.01791867677463818,0.02343211578221916,0.9059349023966881,0.4940192027424578,4.410751206064783,0.30921203767516653,0.6907879623248334,0.0,0.0,0.0,0.2182402940500804,0.0,0.3381575924649667,0.24994256834367104,0.0,0.0,0.0,,
pilot_mirage,B0Tmaks,CT,15,18.73,188.71265419890128,71.6889108747876,250.00185546875,0.010008340283569641,0.2468723936613845,0.3419516263552961,0.5946622185154296,430.7606931133769,0.5337781484570475,1.3878231859883237,0.427022518765638,0.19099249374478733,1.9565462489258525,0.26688907422852376,0.15929941618015012,0.0,0.0,0.0,25.985037318056136,134.26357421874974,0.0,0.213511259382819,0.24103419516263552,0.0,130.56419372558594,0.6666666666666666,0.16013344453711426,3535.6289138698016,188.72414552766247,0.5754079520303566,775.0269641388824,2332.380648210165,2075.8258291609986,,191.2110595703125,1565.9722222222222,0.48040033361134277,,0.0,312.5,0.854045037531276,315.625,0.5337781484570475,1541.6666666666667,0.16013344453711426,,0.0,15.625,0.26688907422852376,2.2952460383653044,20.368303571428573,0.5535714285714286,0.016680567139282735,0.5613010842368641,0.0,0.11009174311926606,0.14345287739783152,0.0,0.10758965804837364,0.0475396163469558,0.0,0.013344453711426188,0.8548388213585218,0.6410443687073543,3.469557964970809,0.5446205170975813,0.4553794829024187,0.0,0.0,0.0,0.5346121768140116,0.0,0.8006672226855713,0.5337781484570475,0.0,0.0,0.0,,
pilot_mirage,B0Tmaks,CT,16,22.75,123.06494672747922,85.33052225733405,248.7874298095703,0.024725274725274724,0.06662087912087912,0.554945054945055,0.2891483516483517,714.661046015839,2.065934065934066,2.8131868131868134,0.5714285714285714,0.23901098901098902,2.9654220235734066,0.13186813186813187,0.09958791208791208,0.21978021978021978,0.1971153846153846,0.18818681318681318,34.835613992697596,169.93583984375,1.098901098901099,1.054945054945055,0.45604395604395603,0.0,24.56042226155599,0.0,0.13186813186813187,2799.595062876128,123.05912364290673,0.4582234833392861,361.49626958451296,1395.117227969896,1284.4181962553919,1301.95445407192,163.8336181640625,1093.75,0.3076923076923077,595.9821428571429,0.3076923076923077,261.28472222222223,1.5824175824175823,255.02232142857142,1.2307692307692308,505.2083333333333,0.13186813186813187,996.875,0.21978021978021978,15.625,0.13186813186813187,3.912087912087912,-13.392857142857144,0.5535714285714286,0.04120879120879121,0.2403846153846154,0.040521978021978024,0.20604395604395603,0.07486263736263736,0.0831043956043956,0.19642857142857142,0.019917582417582416,0.04807692307692308,0.036401098901098904,0.7742944748760777,0.7654347347494328,6.285714285714286,0.24587912087912087,0.0,0.7541208791208791,0.0,0.0,0.19505494505494506,0.0,0.13186813186813187,0.08791208791208792,0.0,0.13186813186813187,0.0,,
pilot_mirage,B0Tmaks,CT,17,16.8,221.19819305242495,57.95992035237308,250.00176391601562,0.0,0.0,0.11069767441860465,0.8520930232558139,338.4856230167497,0.1786046511627907,0.8930232558139535,0.23813953488372094,0.1702325581395349,1.6959441963531694,0.11906976744186047,0.08744186046511628,0.0,0.0,0.0,24.68099776681797,111.36542968749964,0.0,0.4762790697674419,0.2297674418604651,0.0,160.76880073547363,0.75,0.23813953488372094,3715.8535561841345,221.22290939142755,0.5475777422665992,764.4285073249783,2326.75657740199,2123.096816096998,,155.6278076171875,2681.25,0.29767441860465116,,0.0,334.6354166666667,0.7144186046511628,770.8333333333334,0.1786046511627907,,0.0,,0.0,15.625,0.11906976744186047,1.309767441860465,-23.4375,1.0,0.0,0.627906976744186,0.0,0.11069767441860465,0.12372093023255815,0.0,0.08744186046511628,0.045581395348837206,0.0,0.0037209302325581397,0.748281756420952,0.3678220011028346,2.2027906976744185,0.6809302325581396,0.0,0.19162790697674417,0.0,0.12744186046511627,0.6334883720930232,0.12744186046511627,0.7144186046511628,0.3572093023255814,0.0,0.11906976744186047,0.0,,
pilot_mirage,B0Tmaks,CT,18,56.48,160.8783360788828,83.63095858337321,250.0005645751953,0.0669432918395574,0.22130013831258644,0.3491009681881051,0.4533886583679115,549.4635448542798,0.6904564315352697,1.6110650069156294,0.6196403872752421,0.22710926694329184,2.7214838462566164,0.21244813278008298,0.1455048409405256,0.017704011065006915,0.01991701244813278,0.01991701244813278,43.29604692147724,245.91796875,0.9206085753803596,0.6373443983402489,0.40553250345781466,0.0,67.47055117289226,0.3333333333333333,0.10622406639004149,9086.440811843764,160.86644867441242,0.12612731672925423,650.8057843280124,2432.611351473686,1833.2355857778748,1419.7580106647351,187.23736572265625,995.1508620689655,0.5134163208852005,381.69642857142856,0.12392807745504841,411.4583333333333,0.8497925311203319,319.0406976744186,0.7612724757952973,1388.888888888889,0.15933609958506223,1265.625,0.017704011065006915,15.625,0.21244813278008298,2.6378976486860304,26.179572044334975,0.5449507389162561,0.09211618257261411,0.3128630705394191,0.018257261410788383,0.1900414937759336,0.11784232365145228,0.02600276625172891,0.1463347164591978,0.07883817427385892,0.0019363762102351315,0.013278008298755186,0.8050544629097917,0.6776292407882282,4.355186721991701,0.3872752420470263,0.5858921161825726,0.0,0.0,0.026832641770401105,0.34882434301521437,0.026556016597510373,0.3363762102351314,0.14163208852005532,0.017704011065006915,0.0,0.0,,0.42857142857142855
pilot_mirage,B0Tmaks,T,0,39.02,200.55803904406395,69.33430544526539,250.00082397460938,0.00881057268722467,0.0,0.18662394873848617,0.683620344413296,642.0082282901021,0.6663996796155387,1.6147376852222668,0.8458149779735683,0.2715258309971966,2.3785842249256026,0.051261513816579896,0.059671605927112535,0.025630756908289948,0.0,0.0,43.28373033572466,208.443603515625,1.1277533039647578,0.7432919503404085,0.2883460152182619,0.0,138.62570599147253,0.7857142857142857,0.35883059671605927,9749.106989078971,249.87699130999366,0.3977539929392935,1535.127781453735,3877.902799629189,1827.3583162187401,774.3817184464106,271.796875,1375.0,0.512615138165799,220.98214285714286,0.35883059671605927,225.80645161290323,0.7945534641569884,377.44140625,0.8201842210652783,,0.0,140.625,0.025630756908289948,15.625,0.051261513816579896,2.563075690828995,44.819078947368425,0.4881578947368421,0.012414897877452943,0.4941930316379656,0.0184221065278334,0.06527833400080096,0.06407689227072487,0.03604325190228274,0.12815378454144974,0.14537444933920704,0.022026431718061675,0.010012014417300761,0.7939020385259264,0.8717418298989391,4.63916700040048,0.7084501401682018,0.29154985983179815,0.0,0.0,0.0,0.5662795354425311,0.0,0.12815378454144974,0.051261513816579896,0.0,0.0,0.0,,
pilot_mirage,B0Tmaks,T,1,7.36,233.21288984748207,36.95099311196852,250.0009307861328,0.0,0.0,0.03184713375796178,0.8726114649681529,439.97721605061497,0.13588110403397027,0.40764331210191085,0.0,0.027600849256900213,0.9484136967905915,0.13588110403397027,0.1464968152866242,0.0,0.0,0.0,36.40929812167553,154.1411865234373,0.13588110403397027,0.13588110403397027,0.19957537154989385,0.0,,,0.0,1716.8225937605378,233.2837494706463,0.4379015590585135,374.26187426805166,815.9142919125001,,,101.4378662109375,6140.625,0.13588110403397027,,0.0,1359.375,0.13588110403397027,93.75,0.27176220806794055,,0.0,,0.0,15.625,0.13588110403397027,0.6794055201698513,-15.625,1.0,0.0,0.8067940552016986,0.0,0.14012738853503184,0.027600849256900213,0.0,0.008492569002123142,0.0,0.0,0.016985138004246284,0.9280284627653049,0.3349549553181442,0.8152866242038217,0.7685774946921444,0.0,0.23142250530785563,0.0,0.0,0.7430997876857749,0.0,0.13588110403397027,0.0,0.0,0.0,0.0,,
pilot_mirage,B0Tmaks,T,2,59.25,129.99760422742443,85.34126472040022,250.0002899169922,0.07436708860759493,0.34625527426160335,0.5717299578059072,0.2887658227848101,491.46414829306,1.029535864978903,1.8227848101265822,0.47257383966244726,0.22257383966244726,2.694401608604718,0.10126582278481013,0.07199367088607594,0.11814345991561181,0.11181434599156118,0.10759493670886076,24.4887715920519,158.950927734375,0.11814345991561181,0.35443037974683544,0.36313291139240506,0.0,160.9741096496582,1.0,0.03375527426160337,7701.31242297905,129.97995650597554,0.23774648547143412,517.5662775071239,2023.1674635633503,1919.2855605900766,497.71398381083816,247.8125,1528.125,0.33755274261603374,501.7361111111111,0.1518987341772152,337.92892156862746,0.8607594936708861,256.030701754386,0.9620253164556962,1206.8014705882354,0.2869198312236287,1073.6607142857142,0.11814345991561181,15.625,0.10126582278481013,2.818565400843882,-15.4296875,0.5576923076923077,0.10864978902953587,0.36128691983122363,0.008175105485232068,0.1574367088607595,0.05748945147679325,0.06065400843881857,0.12895569620253164,0.09467299578059071,0.007383966244725738,0.012921940928270042,0.8389890481388864,0.6934879838280592,4.3881856540084385,0.347837552742616,0.5427215189873418,0.10944092827004219,0.0,0.0,0.27399789029535865,0.0,0.4219409282700422,0.23628691983122363,0.0,0.05063291139240506,0.0,,
