feature,cs2_mean,csgo_mean,difference,n_cs2,n_csgo,p_value,cohens_d,invariant
opening_deaths_per_round,0.09802747252747254,0.09794117647058824,8.629605688430242e-05,1820,1666,0.7727581044520955,0.002960594421460974,True
utility,0.5477637362637362,0.5484933973589435,-0.0007296610952073346,1820,1666,0.8712427307601458,0.0036536762324607436,True
last_alive_percentage,10.235109890109891,10.283013205282113,-0.04790331517222235,1820,1666,0.5418408934060561,0.015201889614775156,True
1on1_win_percentage,61.72953249714937,61.27994891443167,0.4495835827177004,1754,1566,0.719803867286238,0.023117643507221567,True
clutch_points_per_round,0.021642857142857144,0.021999399759903962,-0.0003565426170468178,1820,1666,0.5243351778280895,0.02861064284143545,True
opening_attempts,20.05115384615384,20.213805522208883,-0.1626516760550416,1820,1666,0.068251549936638,0.03570804075756127,True
utility_kills_per_100_rounds,0.8504010989010989,0.8279111644657863,0.022489934435312664,1820,1666,0.25036675538237874,0.038585345386613526,True
attacks_per_round,2.6556263736263737,2.6363985594237693,0.019227814202604332,1820,1666,0.42492489593484184,0.04429653545942071,True
rating_3.0,1.0669615384615383,1.0724909963985594,-0.005529457937021087,1820,1666,0.004297827070485074,0.05010331739771118,True
opening_success,51.34645409565696,51.782953181272504,-0.4364990856155444,1819,1666,0.02661375719720836,0.05015777729945212,True
damage_per_round_win,96.44021978021979,97.08343337334934,-0.6432135931295448,1820,1666,0.0038205401785376364,0.05762799758637162,True
clutching,0.5125494505494506,0.5006122448979592,0.011937205651491367,1820,1666,0.1415711926909473,0.05899828371601058,True
pistol_round_rating,1.0928516483516484,1.1100900360144057,-0.017238387662757315,1820,1666,0.17996901786643216,0.06358496925620592,True
opening_kills_per_round,0.1024945054945055,0.1042196878751501,-0.001725182380644591,1820,1666,0.007352148439160339,0.06387059580507205,True
opening,0.5197802197802198,0.536530612244898,-0.016750392464678132,1820,1666,0.020114897962398525,0.07580494671584223,True
sniping,0.1849175824175824,0.21385954381752698,-0.028941961399944566,1820,1666,1.1052189079483218e-30,0.082361554648763,True
win_after_opening_kill,72.78497523390203,72.05400361228175,0.7309716216202844,1817,1661,0.004510340948983163,0.08310642628057761,True
time_opponent_flashed_per_round,2.284093406593406,2.2454921968787516,0.038601209714654416,1820,1666,0.025537935732910053,0.08450328737885318,True
rounds_with_a_kill,46.4487912087912,46.87376950780312,-0.42497829901191864,1820,1666,2.0439428637449426e-05,0.1091181226761831,True
rounds_with_sniper_kills_percentage,6.442242990654205,7.729342875731946,-1.2870998850777404,1605,1537,3.2224845193178504e-33,0.11658782436298845,True
