feature,ct_mean,t_mean,difference,n_pairs,t_statistic,p_value,cohens_d,invariant
opening_attempts,20.12581755593804,20.121026965002866,0.004790590935172645,3486,0.043041117670134875,0.9656712227830455,0.0007289871096605036,True
entrying,0.4571572002294894,0.4558777969018933,0.0012794033275961292,3486,0.27702694477837186,0.7817758463026401,0.004692003430761105,True
pistol_round_rating,1.098962048192771,1.1032266207687895,-0.004264572576018422,3486,-0.5090636935630685,0.6107398074101382,0.00862200822589556,True
clutching,0.49636259323006315,0.4935714285714286,0.0027911646586345484,3486,0.6089009016613808,0.5426298141115335,0.010312950322844475,True
utility,0.5490590935169248,0.5420797475616753,0.006979345955249516,3486,2.1221238978717327,0.03389768718874829,0.03594239765117486,True
opening,0.5324928284566839,0.5048881239242685,0.02760470453241537,3486,5.9976011057565,2.2070970204227136e-09,0.10158132808005148,True
damage_per_kill,108.73371592539455,110.0390243902439,-1.3053084648493467,3485,-7.310064239712267,3.2953510225995773e-13,0.12382826909199098,True
rating_3.0,1.0815203671830178,1.0570596672403902,0.024460699942627562,3486,8.088479608125862,8.25757063795324e-16,0.13699452268561682,True
firepower,0.5891336775674125,0.5474670109007459,0.04166666666666663,3486,8.654103421554963,7.465432625463844e-18,0.14657448926703617,True
trading,0.4524756167527252,0.4954733218588641,-0.04299770510613893,3486,-9.878519794257265,1.0227833312648524e-22,0.16731242082815342,True
win_after_opening_kill,70.95394967817437,74.32290813341136,-3.3689584552369922,3418,-12.280396399641994,5.939368754234901e-34,0.2100517753139995,True
sniping,0.2045697074010327,0.17446643717728055,0.030103270223752143,3486,13.733659746124216,7.696711103669052e-42,0.23260689929375913,True
utility_kills_per_100_rounds,0.9647045324153758,0.6994836488812392,0.26522088353413664,3486,15.83748204318063,1.3190513356879273e-54,0.268239322859624,True
flash_assists_per_round,0.03886658060814687,0.04862392426850259,-0.009757343660355716,3486,-15.97724407111606,1.646468673491864e-55,0.2706064713515795,True
assisted_kills_percentage,23.49790530846485,21.7332281205165,1.764677187948351,3485,16.341141393449547,6.797692710630988e-58,0.2768095036354961,True
time_opponent_flashed_per_round,2.4274633304572912,2.141219442047742,0.2862438884095493,3477,17.545413346058755,4.2068853023457614e-66,0.29755089349608943,True
traded_deaths_percentage,18.97923121055651,21.007802639127938,-2.0285714285714285,3486,-20.807413929423358,9.809578811090481e-91,0.35241502453931295,True
1on1_win_percentage,56.60522141440846,68.34583608724388,-11.74061467283542,3026,-20.237420071986115,1.6430830618239457e-85,0.3678922885998628,True
opening_deaths_traded_percentage,21.80381924198251,27.63801749271137,-5.834198250728861,3430,-23.18624612205885,1.3286671740675121e-110,0.395898067259334,True
clutch_points_per_round,0.016887263339070566,0.026644865174985658,-0.009757601835915092,3486,-24.677365595403465,4.674317718074812e-124,0.41796036890350463,True
sniper_opening_kills_per_round,0.025170481927710847,0.010601663798049341,0.014568818129661506,3486,27.115132509886987,4.464372282769826e-147,0.4592488101246403,True
