pc,explained_variance,cumulative
1,0.29082239940014826,0.29082239940014826
2,0.08139084569828067,0.3722132450984289
3,0.06851893267757504,0.44073217777600393
4,0.06115827749520781,0.5018904552712118
5,0.05641288867923971,0.5583033439504514
6,0.051842821357692616,0.610146165308144
7,0.051307263054614805,0.6614534283627589
8,0.045380468331990026,0.7068338966947489
9,0.041169185372055744,0.7480030820668047
10,0.035336628371563386,0.783339710438368
