map,awpers_count,csgo_sniping_avg,cs2_sniping_avg,sniping_diff,csgo_sniper_k%_avg,cs2_sniper_k%_avg,sniper_k%_diff
de_ancient,42,0.9007142857142857,0.8326190476190474,-0.06809523809523832,50.290476190476184,41.457142857142856,-8.833333333333329
de_anubis,38,0.9034210526315791,0.8786842105263158,-0.02473684210526328,53.25789473684211,46.28947368421053,-6.968421052631584
de_dust2,38,0.905,0.9197368421052634,0.014736842105263381,58.78947368421053,56.93684210526317,-1.85263157894736
de_inferno,42,0.8892857142857141,0.7833333333333333,-0.1059523809523808,47.03809523809524,38.63095238095238,-8.407142857142858
de_mirage,41,0.9270731707317075,0.8865853658536585,-0.04048780487804893,53.15365853658536,47.66585365853659,-5.48780487804877
de_nuke,41,0.8846341463414635,0.796341463414634,-0.08829268292682957,45.92439024390244,38.49756097560976,-7.426829268292678
de_train,32,0.8925000000000001,0.8518749999999999,-0.04062500000000013,53.98125,46.840624999999996,-7.140625000000007
de_vertigo,43,0.8620930232558139,0.7000000000000001,-0.16209302325581387,44.3953488372093,34.59302325581395,-9.802325581395351
