full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,role,cluster_group
https://www.hltv.org/stats/players/21001/mzinho?maps=de_mirage,0.5,0.65,0.44,0.64,0.67,0.74,0.16,0.56,0.22,0.47,0.08,0.14,0.21,0.29,0.17,0.19,0.09,0.07,0.1,0.16,0.2,1.13,0.34,0.08,0.09,0.18,0.47,0.81,0.02,0.52,0.02,0.08,0.5,1.05,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.64,0.41,0.94,0.67,0.04,2.59,mzinho,de_mirage,17,Support,1
https://www.hltv.org/stats/players/21809/910?maps=de_mirage,0.76,0.74,0.49,0.7,0.74,0.75,0.19,0.57,0.21,0.19,0.08,0.11,0.18,0.22,0.11,0.17,0.47,0.1,0.15,0.2,0.24,1.01,0.62,0.11,0.08,0.2,0.58,0.71,0.02,0.74,0.03,0.13,0.41,1.08,0.05,0.93,0.37,0.49,0.28,0.1,0.08,0.31,0.25,0.87,0.47,0.03,2.25,910,de_mirage,22,AWP,3
https://www.hltv.org/stats/players/9436/nertz?maps=de_mirage,0.92,0.77,0.51,0.79,0.71,0.85,0.19,0.67,0.22,0.21,0.08,0.12,0.17,0.21,0.15,0.14,0.36,0.1,0.14,0.18,0.17,1.08,0.77,0.12,0.11,0.23,0.53,0.74,0.03,0.42,0.02,0.09,0.7,0.98,0.06,0.02,0.02,0.02,0.01,0.005,0.001,0.39,0.34,0.96,0.52,0.02,2.07,NertZ,de_mirage,25,Entry,2
https://www.hltv.org/stats/players/12018/teses?maps=de_mirage,0.64,0.69,0.47,0.69,0.69,0.76,0.17,0.58,0.21,0.53,0.09,0.14,0.21,0.28,0.15,0.17,0.43,0.1,0.14,0.2,0.2,1.11,0.39,0.09,0.1,0.19,0.49,0.7,0.03,0.48,0.02,0.09,0.66,1.05,0.05,0.0,0.01,0.01,0.01,0.002,0.0005,0.61,0.48,0.64,0.61,0.04,1.99,TeSeS,de_mirage,24,Support,1
https://www.hltv.org/stats/players/14148/sjuush?maps=de_mirage,0.6,0.68,0.46,0.68,0.69,0.76,0.16,0.58,0.22,0.41,0.09,0.13,0.2,0.26,0.14,0.19,0.29,0.09,0.13,0.19,0.17,1.12,0.52,0.1,0.09,0.2,0.52,0.73,0.03,0.38,0.02,0.09,0.59,1.02,0.06,0.03,0.02,0.03,0.01,0.005,0.003,0.61,0.36,0.94,0.75,0.04,2.31,sjuush,de_mirage,26,Support,1
https://www.hltv.org/stats/players/17306/degster?maps=de_mirage,0.83,0.77,0.51,0.75,0.75,0.77,0.2,0.6,0.26,0.12,0.07,0.1,0.17,0.2,0.08,0.16,0.37,0.1,0.14,0.19,0.16,1.0,0.75,0.13,0.07,0.2,0.64,0.72,0.02,0.7,0.03,0.14,0.51,1.1,0.11,0.94,0.41,0.54,0.33,0.11,0.1,0.39,0.22,0.84,0.53,0.05,2.36,degster,de_mirage,23,AWP,3
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_mirage,0.52,0.66,0.46,0.64,0.67,0.73,0.16,0.55,0.2,0.29,0.08,0.13,0.19,0.24,0.14,0.2,0.19,0.07,0.12,0.18,0.2,1.11,0.23,0.07,0.09,0.17,0.44,0.74,0.03,0.68,0.03,0.11,0.68,1.08,0.05,0.0,0.01,0.01,0.01,0.001,0.001,0.79,0.52,1.06,0.89,0.06,2.12,kyxsan,de_mirage,24,Support,1
https://www.hltv.org/stats/players/4679/jks?maps=de_mirage,0.62,0.68,0.46,0.68,0.66,0.76,0.16,0.57,0.21,0.23,0.08,0.12,0.18,0.22,0.13,0.19,0.41,0.1,0.14,0.2,0.17,1.09,0.28,0.08,0.07,0.15,0.54,0.73,0.03,0.62,0.03,0.12,0.65,1.05,0.07,0.01,0.01,0.02,0.01,0.003,0.002,0.58,0.42,0.87,0.64,0.04,2.18,jks,de_mirage,29,Anchor,1
https://www.hltv.org/stats/players/8520/naf?maps=de_mirage,0.82,0.73,0.5,0.71,0.7,0.82,0.18,0.54,0.21,0.14,0.08,0.1,0.17,0.2,0.15,0.19,0.3,0.09,0.13,0.18,0.19,1.01,0.41,0.09,0.07,0.16,0.56,0.76,0.03,0.58,0.03,0.12,0.59,1.0,0.08,0.09,0.05,0.07,0.04,0.01,0.01,0.69,0.56,1.54,0.62,0.04,1.98,NAF,de_mirage,27,Anchor,1
https://www.hltv.org/stats/players/10394/twistzz?maps=de_mirage,0.8,0.73,0.48,0.72,0.71,0.79,0.18,0.59,0.25,0.53,0.09,0.14,0.22,0.28,0.12,0.19,0.52,0.1,0.15,0.21,0.17,1.07,0.39,0.09,0.08,0.17,0.52,0.76,0.03,0.64,0.03,0.11,0.62,1.07,0.08,0.03,0.02,0.03,0.02,0.005,0.003,0.55,0.33,0.92,0.75,0.03,1.86,Twistzz,de_mirage,25,Anchor,2
