Map,Mean,Std,Std/Mean (%)
de_ancient,0.488,0.142,29.098
de_anubis,0.452,0.176,38.938
de_dust2,0.397,0.134,33.753
de_inferno,0.635,0.225,35.433
de_mirage,0.36,0.106,29.444
de_nuke,0.342,0.108,31.579
de_train,0.388,0.167,43.041
de_vertigo,0.56,0.174,31.071
