Map,Mean,Std,Std/Mean (%)
de_ancient,0.19,0.03,15.79
de_anubis,0.21,0.04,19.05
de_dust2,0.19,0.02,10.53
de_inferno,0.2,0.02,10.0
de_mirage,0.17,0.02,11.76
de_nuke,0.17,0.03,17.65
de_train,0.16,0.05,31.25
de_vertigo,0.19,0.02,10.53
