Map,Mean,Std,Std/Mean (%)
de_ancient,0.19,0.03,15.79
de_anubis,0.2,0.04,20.0
de_dust2,0.19,0.03,15.79
de_inferno,0.2,0.03,15.0
de_mirage,0.19,0.03,15.79
de_nuke,0.19,0.04,21.05
de_train,0.18,0.06,33.33
de_vertigo,0.2,0.03,15.0
