Map,Mean,Std,Std/Mean (%)
de_ancient,0.53,0.07,13.21
de_anubis,0.5,0.1,20.0
de_dust2,0.51,0.07,13.73
de_inferno,0.52,0.06,11.54
de_mirage,0.52,0.06,11.54
de_nuke,0.51,0.1,19.61
de_train,0.49,0.15,30.61
de_vertigo,0.52,0.06,11.54
