Map,Mean,Std,Std/Mean (%)
de_ancient,0.14,0.02,14.29
de_anubis,0.14,0.03,21.43
de_dust2,0.13,0.02,15.38
de_inferno,0.14,0.02,14.29
de_mirage,0.13,0.02,15.38
de_nuke,0.13,0.03,23.08
de_train,0.13,0.04,30.77
de_vertigo,0.14,0.02,14.29
