Map,Mean,Std,Std/Mean (%)
de_ancient,0.76,0.28,36.84
de_anubis,0.8,0.42,52.5
de_dust2,0.85,0.37,43.53
de_inferno,1.16,0.44,37.93
de_mirage,0.86,0.33,38.37
de_nuke,0.63,0.25,39.68
de_train,0.77,0.63,81.82
de_vertigo,1.08,0.47,43.52
