Map,Mean,Std,Std/Mean (%)
de_ancient,0.16,0.04,25.0
de_anubis,0.17,0.04,23.53
de_dust2,0.15,0.03,20.0
de_inferno,0.14,0.03,21.43
de_mirage,0.14,0.03,21.43
de_nuke,0.14,0.03,21.43
de_train,0.13,0.05,38.46
de_vertigo,0.15,0.03,20.0
