Map,Mean,Std,Std/Mean (%)
de_ancient,0.2,0.028,14.0
de_anubis,0.208,0.042,20.192
de_dust2,0.189,0.028,14.815
de_inferno,0.204,0.027,13.235
de_mirage,0.188,0.025,13.298
de_nuke,0.191,0.04,20.942
de_train,0.182,0.06,32.967
de_vertigo,0.2,0.027,13.5
