Map,Mean,Std,Std/Mean (%)
de_ancient,2.221,0.244,10.986
de_anubis,1.875,0.399,21.28
de_dust2,2.377,0.292,12.284
de_inferno,2.224,0.314,14.119
de_mirage,2.105,0.257,12.209
de_nuke,2.343,0.54,23.047
de_train,2.275,0.854,37.538
de_vertigo,2.397,0.334,13.934
