Map,Mean,Std,Std/Mean (%)
de_ancient,0.1,0.03,30.0
de_anubis,0.1,0.03,30.0
de_dust2,0.1,0.03,30.0
de_inferno,0.09,0.02,22.22
de_mirage,0.1,0.03,30.0
de_nuke,0.1,0.03,30.0
de_train,0.1,0.04,40.0
de_vertigo,0.11,0.03,27.27
