Map,Mean,Std,Std/Mean (%)
de_ancient,0.109,0.186,170.642
de_anubis,0.113,0.192,169.912
de_dust2,0.167,0.228,136.527
de_inferno,0.114,0.18,157.895
de_mirage,0.136,0.205,150.735
de_nuke,0.103,0.178,172.816
de_train,0.137,0.198,144.526
de_vertigo,0.103,0.168,163.107
