Map,Mean,Std,Std/Mean (%)
de_ancient,0.64,0.185,28.906
de_anubis,0.572,0.199,34.79
de_dust2,0.734,0.164,22.343
de_inferno,0.604,0.163,26.987
de_mirage,0.608,0.143,23.52
de_nuke,0.4,0.155,38.75
de_train,0.504,0.196,38.889
de_vertigo,0.617,0.162,26.256
