Map,Mean,Std,Std/Mean (%)
de_ancient,0.17,0.023,13.529
de_anubis,0.161,0.033,20.497
de_dust2,0.169,0.022,13.018
de_inferno,0.165,0.018,10.909
de_mirage,0.175,0.021,12.0
de_nuke,0.166,0.03,18.072
de_train,0.166,0.049,29.518
de_vertigo,0.173,0.021,12.139
