Map,Mean,Std,Std/Mean (%)
de_ancient,0.47,0.04,8.51
de_anubis,0.45,0.07,15.56
de_dust2,0.46,0.03,6.52
de_inferno,0.46,0.03,6.52
de_mirage,0.48,0.03,6.25
de_nuke,0.46,0.07,15.22
de_train,0.45,0.12,26.67
de_vertigo,0.47,0.03,6.38
