Map,Mean,Std,Std/Mean (%)
de_ancient,0.02,0.01,50.0
de_anubis,0.02,0.01,50.0
de_dust2,0.02,0.01,50.0
de_inferno,0.02,0.01,50.0
de_mirage,0.02,0.01,50.0
de_nuke,0.02,0.01,50.0
de_train,0.02,0.01,50.0
de_vertigo,0.02,0.01,50.0
