,temporal,velocity,amount,identity
temporal,1.0,-0.11157877731632776,-0.01405137908580655,-0.05341858036088754
velocity,-0.11157877731632776,1.0,0.118657363107636,0.47960222040497036
amount,-0.01405137908580655,0.118657363107636,1.0,0.14019045446715372
identity,-0.05341858036088754,0.47960222040497036,0.14019045446715372,1.0
