full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/12018/teses?maps=de_train,0.85,0.75,49.9,1.04,1.13,81.5,18.6,105.9,1.18,0.42,0.09,0.14,19.9,25.7,0.13,14.9,0.4,0.11,0.14,18.6,18.0,109.0,0.73,0.12,0.12,23.9,49.5,74.9,2.92,0.36,0.02,7.5,55.6,0m 58s,4.0,0.0,0.01,1.2,0.8,0.001,0.001,0.41,3.97,0.77,0.48,0.02,2.32,TeSeS,de_train,24
https://www.hltv.org/stats/players/12018/teses?maps=de_nuke,0.67,0.69,46.4,0.95,1.09,75.8,17.4,97.8,1.17,0.68,0.11,0.15,22.4,32.7,0.14,17.9,0.56,0.11,0.15,21.3,18.5,109.0,0.43,0.09,0.1,19.1,49.3,71.6,2.71,0.49,0.02,8.7,64.4,1m 5s,5.1,0.0,0.0,0.6,0.4,0.0005,0.0,0.41,3.7,0.57,0.51,0.02,2.23,TeSeS,de_nuke,24
https://www.hltv.org/stats/players/12018/teses?maps=de_inferno,0.53,0.67,45.9,0.92,1.07,73.0,15.9,91.5,1.14,0.84,0.12,0.16,24.4,37.9,0.14,19.3,0.71,0.13,0.15,22.9,21.6,108.0,0.39,0.09,0.1,18.7,47.9,74.3,2.76,0.43,0.02,7.5,60.7,1m 13s,7.4,0.0,0.0,0.6,0.3,0.001,0.0,0.79,6.2,1.08,0.68,0.05,2.13,TeSeS,de_inferno,24
https://www.hltv.org/stats/players/12018/teses?maps=de_mirage,0.64,0.69,47.0,0.95,1.07,76.1,16.7,97.4,1.05,0.53,0.09,0.14,21.4,28.5,0.15,17.3,0.43,0.1,0.14,19.9,20.0,111.0,0.39,0.09,0.1,18.7,48.9,69.6,2.74,0.48,0.02,8.6,66.1,1m 3s,5.4,0.0,0.01,1.3,0.7,0.002,0.0005,0.61,4.77,0.64,0.61,0.04,1.99,TeSeS,de_mirage,24
https://www.hltv.org/stats/players/12018/teses?maps=de_dust2,0.5,0.66,44.6,0.96,1.0,70.8,16.4,94.8,1.07,0.21,0.09,0.12,17.1,21.4,0.11,17.2,0.36,0.1,0.13,19.6,21.3,107.0,0.57,0.1,0.1,20.3,51.0,76.6,2.53,0.37,0.01,8.9,75.0,1m 6s,6.5,0.0,0.0,0.7,0.4,0.001,0.002,0.56,3.45,0.59,0.7,0.04,2.13,TeSeS,de_dust2,24
https://www.hltv.org/stats/players/12018/teses?maps=de_vertigo,0.91,0.76,49.4,1.06,1.19,84.6,19.6,111.5,1.35,0.66,0.11,0.15,22.2,24.3,0.18,17.5,0.48,0.12,0.14,18.6,18.7,111.0,0.86,0.14,0.13,27.2,51.9,73.2,3.21,0.32,0.01,7.2,76.5,1m 3s,6.0,0.01,0.01,0.8,0.4,0.002,0.0,0.71,7.13,1.28,0.57,0.03,2.24,TeSeS,de_vertigo,24
https://www.hltv.org/stats/players/12018/teses?maps=de_ancient,0.62,0.69,47.4,0.94,1.07,76.5,16.2,98.1,1.18,0.64,0.12,0.15,21.4,24.7,0.18,18.8,0.5,0.12,0.14,19.8,22.5,112.0,0.66,0.11,0.11,22.4,49.8,74.3,2.96,0.42,0.02,7.4,62.1,1m 3s,6.0,0.0,0.0,0.3,0.3,0.0,0.0,0.65,5.06,0.38,0.64,0.03,2.14,TeSeS,de_ancient,24
https://www.hltv.org/stats/players/12018/teses?maps=de_anubis,0.43,0.62,43.4,0.85,1.06,71.7,15.8,92.6,1.28,0.8,0.14,0.15,23.5,27.4,0.2,24.2,0.62,0.11,0.15,23.5,24.0,115.0,0.28,0.08,0.11,18.8,41.7,71.7,2.52,0.41,0.02,7.3,62.5,1m 10s,10.4,0.0,0.0,0.6,0.8,0.0,0.0,0.62,4.01,0.91,0.74,0.04,1.88,TeSeS,de_anubis,24
https://www.hltv.org/stats/players/14148/sjuush?maps=de_train,0.82,0.73,47.4,1.0,1.15,80.8,18.4,104.3,1.12,0.61,0.1,0.14,22.1,29.6,0.14,19.1,0.5,0.11,0.15,20.4,16.9,111.0,0.51,0.1,0.09,19.4,51.3,74.7,3.01,0.64,0.03,9.5,65.8,1m 1s,3.9,0.01,0.01,1.6,0.8,0.002,0.002,0.42,4.94,1.02,0.42,0.01,1.86,sjuush,de_train,26
https://www.hltv.org/stats/players/14148/sjuush?maps=de_nuke,0.53,0.67,45.9,0.9,1.07,73.4,15.9,92.4,1.03,0.62,0.11,0.14,22.1,28.6,0.15,20.3,0.54,0.12,0.14,21.2,19.5,110.0,0.31,0.08,0.08,16.6,49.1,77.6,2.82,0.46,0.02,8.8,59.2,1m 6s,6.0,0.0,0.01,0.8,0.5,0.001,0.0002,0.3,3.76,0.73,0.39,0.02,2.09,sjuush,de_nuke,26
https://www.hltv.org/stats/players/14148/sjuush?maps=de_inferno,0.44,0.64,44.6,0.87,1.05,71.6,15.4,90.3,1.13,0.68,0.12,0.14,22.3,32.9,0.13,21.3,0.56,0.12,0.14,22.0,17.7,111.0,0.34,0.09,0.08,16.5,51.7,73.1,2.65,0.6,0.03,8.5,64.8,1m 15s,8.4,0.0,0.01,1.0,0.5,0.002,0.0007,0.66,4.72,0.74,0.65,0.05,2.17,sjuush,de_inferno,26
