full_url,player_name,game_version,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_2.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_2.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_2.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round
https://www.hltv.org/stats/players/2553/snax?maps=all&startDate=2023-09-27&endDate=2025-12-31,snax,cs2,0.15,0.56,41.2,0.76,0.92,66.3,12.3,83.6,0.87,0.49,0.11,0.13,20.0,24.9,0.2,24.4,0.27,0.08,0.11,19.4,27.1,118.0,0.28,0.08,0.11,18.6,42.8,71.7,2.78,0.49,0.02,10.3,66.3,1m 10s,8.2,0.02,0.02,2.8,1.4,0.003,0.004,0.76,5.49,1.07,0.67,0.06,2.26,all,32,0.15,0.59,42.6,0.8,0.93,68.1,13.2,86.5,0.84,0.4,0.08,0.11,18.1,23.0,0.21,27.7,0.35,0.07,0.1,16.7,27.7,115.0,0.22,0.08,0.08,16.1,49.1,67.3,2.88,0.49,0.01,9.8,59.6,1m 11s,13.5,0.02,0.02,3.5,1.9,0.005,0.005,0.67,5.92,1.19,0.49,0.04,2.51,0.18,0.54,39.7,0.72,0.92,64.5,11.4,80.7,0.91,0.56,0.14,0.16,21.6,26.1,0.2,21.1,0.32,0.1,0.12,22.4,26.5,120.0,0.43,0.08,0.13,21.1,38.0,76.0,2.69,0.48,0.02,10.7,76.5,1m 8s,3.0,0.02,0.01,1.9,1.0,0.001,0.002,0.82,5.06,0.94,0.84,0.07,2.11
https://www.hltv.org/stats/players/7998/s1mple?maps=all&startDate=2023-09-27&endDate=2025-12-31,s1mple,cs2,0.85,0.77,51.5,1.06,1.2,79.4,18.7,105.7,1.13,0.17,0.08,0.11,17.7,20.7,0.15,18.0,0.52,0.1,0.15,19.9,25.6,104.0,0.71,0.13,0.08,20.1,62.4,69.0,2.1,0.7,0.03,14.1,74.4,1m 13s,13.0,0.91,0.32,41.7,23.8,0.09,0.07,0.57,2.82,0.69,0.74,0.07,2.25,all,28,0.82,0.81,54.5,1.12,1.24,82.5,20.1,111.5,1.13,0.36,0.07,0.11,19.0,22.6,0.16,20.4,0.34,0.06,0.12,15.1,25.0,102.0,0.85,0.17,0.08,24.3,67.9,64.7,2.13,0.57,0.02,10.9,66.7,1m 11s,22.9,0.92,0.42,51.7,30.7,0.12,0.1,0.49,3.98,1.03,0.45,0.04,2.53,0.79,0.72,48.6,1.0,1.16,76.4,17.3,99.9,1.14,0.15,0.1,0.11,16.6,18.6,0.14,15.6,0.71,0.15,0.18,25.2,26.4,106.0,0.46,0.09,0.07,16.0,54.3,76.9,2.07,0.75,0.04,17.1,81.8,1m 15s,3.8,0.87,0.22,30.7,17.0,0.06,0.04,0.59,1.69,0.36,1.01,0.09,2.13
https://www.hltv.org/stats/players/3741/niko?maps=all&startDate=2023-09-27&endDate=2025-12-31,niko,cs2,0.82,0.73,48.1,0.99,1.17,81.1,18.1,104.0,1.3,0.32,0.09,0.12,19.0,22.2,0.2,20.4,0.51,0.11,0.14,19.9,23.7,111.0,0.79,0.13,0.11,24.1,53.2,71.5,2.87,0.53,0.02,10.1,64.6,1m 11s,7.7,0.0,0.01,1.1,0.7,0.002,0.0008,0.74,6.28,0.89,0.61,0.04,2.38,all,28,0.84,0.78,50.6,1.09,1.2,86.7,20.2,112.4,1.3,0.39,0.07,0.11,18.5,19.9,0.22,21.7,0.64,0.1,0.14,18.1,25.8,110.0,0.77,0.14,0.1,23.8,59.2,69.9,3.21,0.52,0.02,9.0,54.2,1m 10s,12.1,0.0,0.01,0.7,0.4,0.0009,0.0004,0.83,8.02,1.12,0.53,0.04,3.11,0.68,0.67,45.6,0.9,1.14,75.5,16.0,95.8,1.3,0.33,0.11,0.13,19.5,24.0,0.18,19.0,0.46,0.12,0.15,21.9,21.2,112.0,0.74,0.12,0.13,24.5,47.3,73.4,2.54,0.54,0.03,11.2,75.9,1m 11s,3.2,0.02,0.01,1.6,0.9,0.003,0.001,0.63,4.54,0.65,0.69,0.03,1.82
https://www.hltv.org/stats/players/3972/hunter?maps=all&startDate=2023-09-27&endDate=2025-12-31,hunter,cs2,0.46,0.65,44.8,0.88,1.05,71.8,15.6,91.2,1.13,0.56,0.11,0.14,21.2,27.9,0.18,22.4,0.63,0.11,0.15,22.5,27.9,110.0,0.27,0.08,0.08,15.6,48.9,77.0,2.87,0.49,0.02,9.4,63.5,1m 12s,8.4,0.0,0.0,0.5,0.3,0.0003,0.0001,0.83,6.11,1.02,0.76,0.06,2.23,all,29,0.51,0.69,46.4,0.95,1.05,76.4,17.3,97.4,1.09,0.52,0.08,0.12,19.5,27.0,0.21,23.9,0.61,0.09,0.13,18.8,28.7,110.0,0.32,0.09,0.08,16.9,52.6,73.7,3.13,0.5,0.02,7.8,63.9,1m 12s,13.1,0.0,0.0,0.5,0.3,0.0005,0.0003,0.84,7.45,1.11,0.62,0.05,2.48,0.39,0.61,43.3,0.81,1.05,67.3,13.9,85.1,1.16,0.57,0.13,0.15,22.7,28.9,0.16,20.9,0.65,0.13,0.16,26.8,26.9,110.0,0.27,0.06,0.08,14.3,44.5,81.6,2.6,0.49,0.02,11.1,63.2,1m 13s,3.6,0.0,0.0,0.5,0.3,0.0,0.0,0.81,4.78,0.92,0.89,0.06,2.05
https://www.hltv.org/stats/players/11617/malbsmd?maps=all&startDate=2023-09-27&endDate=2025-12-31,malbsmd,cs2,0.86,0.75,49.4,1.02,1.15,82.3,18.7,107.4,1.36,0.76,0.12,0.16,23.1,25.1,0.21,17.5,0.4,0.11,0.13,17.6,24.0,110.0,0.9,0.15,0.13,28.8,53.2,74.3,2.74,0.35,0.02,6.6,60.6,1m 4s,5.2,0.0,0.0,0.2,0.1,0.0003,0.0,0.56,5.59,0.8,0.49,0.03,2.2,all,23,0.82,0.78,50.6,1.04,1.12,85.5,20.1,109.8,1.27,0.64,0.1,0.13,20.4,20.0,0.23,20.5,0.44,0.09,0.12,15.3,24.9,110.0,0.86,0.16,0.11,27.2,58.7,71.5,2.99,0.46,0.02,6.8,60.6,1m 4s,8.4,0.0,0.0,0.2,0.2,0.0,0.0,0.65,7.07,0.82,0.45,0.03,2.45,0.82,0.72,48.3,1.0,1.17,79.2,17.4,105.0,1.44,0.77,0.14,0.19,25.5,28.7,0.19,14.6,0.46,0.14,0.14,20.0,23.1,109.0,0.89,0.15,0.16,30.4,48.4,77.2,2.49,0.31,0.02,6.3,60.6,1m 4s,2.1,0.0,0.0,0.2,0.1,0.0006,0.0,0.49,4.15,0.78,0.51,0.02,1.97
https://www.hltv.org/stats/players/19230/m0nesy?maps=all&startDate=2023-09-27&endDate=2025-12-31,m0nesy,cs2,0.93,0.81,52.4,1.08,1.28,81.7,21.0,105.0,1.25,0.32,0.09,0.12,19.6,26.9,0.14,18.8,0.6,0.12,0.16,19.9,24.4,101.0,0.82,0.14,0.08,21.3,64.8,75.6,2.09,0.81,0.03,12.3,62.8,1m 16s,9.2,0.92,0.37,45.6,26.8,0.1,0.09,0.58,3.2,0.68,0.69,0.08,2.33,all,20,0.9,0.85,54.2,1.16,1.28,84.9,22.2,111.3,1.18,0.4,0.07,0.11,19.2,22.6,0.15,19.4,0.54,0.09,0.14,16.4,24.7,100.0,0.88,0.17,0.07,23.7,69.7,75.2,2.06,0.74,0.02,10.3,57.3,1m 14s,15.1,0.92,0.45,52.8,32.4,0.12,0.11,0.55,3.67,0.79,0.5,0.07,2.68,0.9,0.77,50.6,1.0,1.28,78.5,19.8,99.0,1.32,0.32,0.11,0.12,20.0,30.9,0.13,18.2,0.67,0.15,0.18,23.6,24.0,102.0,0.67,0.11,0.08,18.9,58.5,76.2,2.12,0.83,0.05,14.2,70.4,1m 17s,3.1,0.92,0.29,37.8,21.2,0.07,0.07,0.64,2.74,0.57,0.89,0.09,2.14
