full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/20238/viridian,viridian,Australia,24 years,The Art of War,29/100,0.98,0.62,67.7,84.9,43.4%,1.01,14.4%,33/100,0.10,0.12,25.3%,25.3%,0.13,19.2%,39/100,0.09,0.08,17.4%,52.5%,69.2%,2.11,87/100,0.26,42.1%,19.9%,0.06,0.06,43/100,0.10,0.13,21.1%,22.3%,110,72/100,0.03,15.9%,59.6%,1m 7s,7.0%,69/100,4.06,0.85,0.79,0.07,2.35
https://www.hltv.org/stats/players/20375/virree,virree,Sweden,23 years,No team,41/100,0.97,0.63,73.6,97.5,43.6%,0.89,14.4%,58/100,0.10,0.16,22.1%,22.1%,0.15,17.6%,61/100,0.11,0.13,24.2%,45.4%,65.0%,2.73,1/100,0.01,1.7%,0.8%,0.002,0.001,10/100,0.08,0.10,15.6%,19.9%,116,52/100,0.02,9.3%,54.5%,1m 3s,4.8%,58/100,5.51,0.78,0.50,0.03,2.29
https://www.hltv.org/stats/players/22476/virtuoso,virtuoso,Poland,22 years,No team,38/100,1.02,0.64,70.4,90.1,44.2%,1.08,14.9%,71/100,0.12,0.15,30.9%,30.9%,0.17,21.8%,39/100,0.09,0.09,18.4%,49.2%,72.3%,2.65,6/100,0.04,5.5%,2.7%,0.008,0.006,71/100,0.12,0.15,24.0%,25.5%,111,50/100,0.02,10.4%,58.2%,1m 5s,7.1%,51/100,4.46,0.95,0.49,0.04,2.39
https://www.hltv.org/stats/players/23346/vision,vision,Australia,20 years,SemperFi,41/100,1.00,0.65,69.9,93.7,44.6%,1.10,15.4%,52/100,0.10,0.14,20.6%,20.6%,0.16,17.6%,32/100,0.09,0.09,17.3%,49.2%,70.0%,2.51,0/100,0.00,0.5%,0.3%,0.001,0.0,38/100,0.11,0.12,19.0%,25.7%,108,55/100,0.02,11.1%,69.2%,1m 9s,6.6%,52/100,4.86,0.74,0.54,0.02,1.90
https://www.hltv.org/stats/players/20904/vital,ViTaL,Lebanon,25 years,XO,41/100,1.03,0.63,72.9,93.7,42.8%,1.02,14.9%,62/100,0.10,0.15,27.9%,27.9%,0.21,21.6%,48/100,0.09,0.11,20.6%,46.0%,76.4%,2.96,1/100,0.01,1.5%,0.9%,0.002,0.0,28/100,0.09,0.12,19.0%,23.9%,116,53/100,0.02,9.8%,40.0%,1m 7s,7.3%,67/100,5.18,0.69,0.67,0.03,1.91
https://www.hltv.org/stats/players/23571/viva,viva,Mongolia,22 years,GEUD,26/100,0.88,0.60,68.3,92.8,43.0%,0.97,14.0%,86/100,0.12,0.18,33.3%,33.3%,0.19,16.0%,24/100,0.08,0.10,18.5%,43.2%,56.2%,1.98,16/100,0.09,14.8%,5.5%,0.02,0.02,52/100,0.10,0.14,23.3%,18.3%,114,4/100,0.0,9.0%,-,0m 50s,0.9%,19/100,3.68,1.00,0.28,0.0,1.72
https://www.hltv.org/stats/players/23344/w0mbat,w0mbat,Australia,22 years,No team,33/100,0.84,0.63,68.1,112.5,42.7%,0.76,14.6%,26/100,0.09,0.13,0.0%,0.0%,0.11,9.8%,10/100,0.05,0.09,13.4%,36.4%,75.0%,2.46,3/100,0.02,3.8%,3.7%,0.0,0.0,59/100,0.15,0.13,21.2%,17.3%,107,42/100,0.01,15.9%,100.0%,1m 5s,8.6%,59/100,2.15,1.22,0.67,0.10,3.34
https://www.hltv.org/stats/players/20127/w0nderful,w0nderful,Ukraine,19 years,Natus Vincere,81/100,1.20,0.76,76.6,97.1,51.4%,1.23,18.7%,27/100,0.09,0.11,24.5%,24.5%,0.10,18.7%,55/100,0.11,0.06,16.8%,63.3%,74.4%,2.12,91/100,0.32,41.8%,24.8%,0.08,0.07,64/100,0.12,0.16,21.1%,21.2%,101,71/100,0.03,14.0%,55.5%,1m 21s,13.2%,48/100,3.24,0.68,0.59,0.05,2.28
https://www.hltv.org/stats/players/16831/w1,w1,Brazil,24 years,E-Xolos LAZER,50/100,1.03,0.65,74.0,94.5,44.5%,1.01,15.6%,25/100,0.08,0.12,23.0%,23.0%,0.14,20.0%,37/100,0.09,0.09,18.4%,48.4%,72.8%,2.83,0/100,0.01,1.0%,0.5%,0.002,0.001,26/100,0.09,0.12,18.8%,19.1%,114,51/100,0.02,10.7%,61.6%,1m 6s,7.8%,37/100,3.58,0.58,0.48,0.03,2.11
https://www.hltv.org/stats/players/24358/w1dow,w1dow,Germany,18 years,No team,34/100,0.87,0.59,69.6,100.5,39.7%,1.10,15.7%,16/100,0.07,0.11,33.3%,33.3%,0.21,14.0%,35/100,0.08,0.10,18.2%,45.5%,90.0%,2.17,3/100,0.02,2.8%,0.8%,0.008,0.0,43/100,0.12,0.11,18.3%,31.0%,119,65/100,0.02,14.9%,100.0%,1m 5s,4.7%,24/100,4.64,0.83,0.13,0.0,0.80
