full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/21665/jba?maps=all,0.71,0.72,48.0,0.96,1.12,76.0,17.4,95.4,1.27,0.63,0.11,0.14,21.9,30.1,0.15,20.6,0.79,0.13,0.17,23.5,24.4,106.0,0.31,0.08,0.07,15.7,52.4,73.0,2.76,0.73,0.03,12.1,56.0,1m 9s,7.6,0.0,0.0,0.5,0.3,0.0004,0.0004,0.41,4.73,0.97,0.41,0.03,1.92,JBa,all,20
https://www.hltv.org/stats/players/9115/dexter?maps=all,0.77,0.72,47.8,0.97,1.05,78.9,17.9,100.0,1.06,0.33,0.09,0.13,19.1,21.2,0.15,17.1,0.25,0.09,0.12,17.3,19.0,109.0,0.73,0.12,0.11,22.6,52.8,75.2,2.87,0.4,0.02,7.4,61.0,1m 3s,3.8,0.04,0.03,3.9,2.1,0.007,0.007,0.79,5.28,1.19,0.75,0.06,2.38,dexter,all,30
https://www.hltv.org/stats/players/10588/liazz?maps=all,0.67,0.69,46.6,0.92,1.06,77.2,16.9,95.1,1.05,0.53,0.1,0.13,21.5,30.1,0.16,21.1,0.51,0.11,0.14,20.7,21.2,111.0,0.34,0.08,0.07,15.9,53.2,74.1,3.05,0.63,0.03,10.7,66.7,1m 7s,6.9,0.0,0.01,0.8,0.5,0.001,0.0008,0.61,4.9,1.12,0.58,0.04,2.02,Liazz,all,27
https://www.hltv.org/stats/players/11139/alistair?maps=all,0.67,0.71,48.1,0.95,1.13,74.0,17.5,93.8,1.12,0.25,0.09,0.11,18.6,20.9,0.12,17.8,0.18,0.08,0.12,16.4,19.8,104.0,0.81,0.13,0.1,22.9,56.2,77.5,2.19,0.59,0.02,10.9,60.8,1m 5s,6.0,0.91,0.3,42.1,22.4,0.08,0.07,0.56,3.31,1.02,0.66,0.06,2.21,aliStair,all,27
https://www.hltv.org/stats/players/11140/ins?maps=all,0.91,0.76,49.5,1.02,1.19,85.7,19.4,107.7,1.22,0.41,0.1,0.13,20.0,23.7,0.18,17.6,0.25,0.09,0.13,16.6,19.9,113.0,0.71,0.12,0.1,21.9,53.2,76.8,3.38,0.55,0.02,9.7,62.3,1m 4s,4.5,0.04,0.03,3.9,2.2,0.007,0.006,0.81,8.88,1.93,0.65,0.04,2.2,INS,all,26
https://www.hltv.org/stats/players/17384/vexite?maps=all,0.84,0.74,48.9,1.01,1.14,80.7,18.6,103.1,1.17,0.54,0.11,0.14,20.6,26.1,0.15,17.5,0.49,0.11,0.14,19.4,20.1,108.0,0.73,0.12,0.11,22.9,51.8,74.9,2.88,0.39,0.02,8.1,63.2,1m 2s,4.4,0.0,0.01,1.0,0.6,0.001,0.002,0.59,4.88,1.14,0.54,0.04,2.25,Vexite,all,20
https://www.hltv.org/stats/players/15370/slaxz?maps=all,0.64,0.71,47.9,0.96,1.13,72.6,17.4,95.1,1.09,0.18,0.09,0.11,17.6,19.8,0.1,18.8,0.31,0.09,0.13,18.5,18.3,102.0,0.76,0.13,0.08,20.7,61.5,73.9,1.77,0.66,0.03,12.5,60.1,1m 8s,10.0,0.95,0.45,62.6,34.7,0.12,0.1,0.64,3.42,0.66,0.77,0.08,2.48,slaxz-,all,26
https://www.hltv.org/stats/players/16599/swisher?maps=all,0.77,0.71,47.8,0.98,1.11,80.0,17.7,102.4,1.14,0.54,0.1,0.14,21.1,24.7,0.17,17.8,0.44,0.11,0.14,19.6,20.3,112.0,0.57,0.1,0.11,21.2,49.5,73.3,3.17,0.48,0.02,8.4,64.6,1m 3s,4.9,0.01,0.01,1.8,1.0,0.003,0.002,0.81,5.71,1.22,0.71,0.06,2.42,Swisher,all,26
https://www.hltv.org/stats/players/17378/reck?maps=all,0.64,0.69,47.0,0.95,1.07,75.5,16.7,97.2,1.14,0.54,0.1,0.14,21.1,26.5,0.15,17.8,0.38,0.1,0.13,19.4,20.9,109.0,0.38,0.09,0.09,18.4,48.8,72.0,2.77,0.53,0.02,9.9,65.1,1m 5s,4.9,0.01,0.01,1.2,0.6,0.002,0.001,0.53,3.95,0.68,0.6,0.04,2.06,reck,all,21
https://www.hltv.org/stats/players/20104/s1n?maps=all,0.6,0.67,45.5,0.9,1.09,76.5,16.4,96.6,1.17,0.4,0.1,0.13,20.2,23.7,0.17,21.3,0.52,0.1,0.15,21.8,21.3,114.0,0.36,0.09,0.09,17.5,50.1,73.4,2.99,0.52,0.02,10.6,55.6,1m 6s,8.5,0.02,0.02,2.5,1.4,0.004,0.003,0.91,6.9,1.07,0.94,0.08,2.47,s1n,all,23
